Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_BTF
Folio Number:  9A1547000105
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1154036.87909,0.00001,0.00000,0.00000,1.11179,1.11179
06/27/2019,1141243.69046,0.00000,103.82380,0.00000,0.59211,0.59211
06/26/2019,1134525.42573,0.00000,103.82380,0.00000,0.36743,0.36743
06/25/2019,1130371.76364,0.00000,103.82380,0.00000,-0.74850,-0.74850
06/24/2019,1138897.18488,0.00000,103.82380,0.00000,0.43335,0.43335
06/21/2019,1133982.66047,-0.00031,103.82380,0.00000,-0.33851,-0.33851
06/20/2019,1137435.69527,-0.00003,502.85677,0.00000,0.67108,0.67108
06/19/2019,1129704.30649,0.00000,648.66420,0.00000,0.77527,0.77527
06/18/2019,1121008.47709,0.00000,648.66420,0.00000,1.51496,1.51496
06/17/2019,1104269.35728,0.00000,648.66420,0.00000,0.50328,0.50328
06/14/2019,1099101.49344,0.00000,283.49388,0.00000,-0.74640,-0.74640
06/13/2019,1107369.03135,0.00000,283.49388,0.00000,0.90433,0.90433
06/12/2019,1097441.98451,0.00000,283.49388,0.00000,0.34777,0.34777
06/11/2019,1093637.67860,0.00000,283.49388,0.00000,0.15058,0.15058
06/10/2019,1091992.96474,0.00000,283.49388,0.00000,0.98564,0.98564
06/07/2019,1081332.09025,0.00000,283.49388,0.00000,0.75050,0.75050
06/06/2019,1073275.00163,0.00000,283.49388,0.00000,0.99714,0.99714
06/05/2019,1062675.78246,0.00000,283.49388,0.00000,-0.43661,-0.43661
06/04/2019,1067482.88470,0.00000,137.68645,0.00000,3.32939,3.32939
06/03/2019,1033082.96744,-0.00019,137.68645,0.00000,0.39557,0.39557
05/31/2019,1028815.71228,0.00000,333.95207,0.00000,-0.91032,-0.91032
05/30/2019,1038270.31949,0.00003,333.95207,0.00000,0.72252,0.72252
05/29/2019,1030848.51486,0.00000,305.46922,0.00000,-0.28725,-0.28725
05/28/2019,1033818.99789,0.00000,305.46922,0.00000,-0.45002,-0.45002
