Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_BTF
Folio Number:  9A1547000105
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1173182.78080,0.00000,0.00000,0.00000,0.56425,0.56425
08/29/2019,1166600.21959,0.00000,0.00000,0.00000,0.59904,0.59904
08/28/2019,1159653.40396,0.00000,0.00000,0.00000,0.25878,0.25878
08/27/2019,1156660.23020,-0.00021,0.00000,0.00000,-0.16431,-0.16431
08/26/2019,1158453.66958,0.00000,110.18362,0.00000,0.52017,0.52017
08/23/2019,1152458.33331,0.00000,110.18362,0.00000,-2.60754,-2.60754
08/22/2019,1183316.61272,0.00000,110.18362,0.00000,0.53039,0.53039
08/21/2019,1177072.99784,0.00000,110.18362,0.00000,0.91075,0.91075
08/20/2019,1166448.56607,0.00000,110.18362,0.00000,0.07243,0.07243
08/19/2019,1165604.18618,0.00000,110.18362,0.00000,1.35161,1.35161
08/16/2019,1150058.38623,0.00000,110.18362,0.00000,1.64020,1.64020
08/15/2019,1131497.78869,0.00000,110.18362,0.00000,0.45926,0.45926
08/14/2019,1126434.69698,0.00000,0.00000,0.00000,-2.35112,-2.35112
08/13/2019,1153556.24537,0.00000,0.00000,0.00000,0.63147,0.63147
08/12/2019,1146317.56217,0.00000,0.00000,0.00000,-1.51463,-1.51463
08/09/2019,1163947.05649,0.00000,0.00000,0.00000,-1.08820,-1.08820
08/08/2019,1176752.48282,0.00000,0.00000,0.00000,3.67345,3.67345
08/07/2019,1135056.70318,0.00000,0.00000,0.00000,0.32287,0.32287
08/06/2019,1131403.68445,0.00000,0.00000,0.00000,1.07534,1.07534
08/05/2019,1119366.66169,0.00000,0.00000,0.00000,-2.99605,-2.99605
08/02/2019,1153939.24344,0.00000,0.00000,0.00000,-0.48769,-0.48769
08/01/2019,1159594.47175,0.00000,0.00000,0.00000,-0.89511,-0.89511
07/31/2019,1170067.87926,0.00000,0.00000,0.00000,-1.11150,-1.11150
07/30/2019,1183219.41583,0.00000,0.00000,0.00000,0.09969,0.09969
