Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_TEC
Folio Number:  9A1547000106
Download Date:  12/18/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/17/2018,2143282.91123,0.00000,0.00000,0.00000,-2.00880,-2.00880
12/14/2018,2187219.83048,0.00005,0.00000,0.00000,-1.53794,-1.53794
12/13/2018,2221383.45740,0.00000,0.00000,0.00000,-0.06034,-0.06034
12/12/2018,2222724.62213,0.00000,0.00000,0.00000,0.82252,0.82252
12/11/2018,2204591.37079,0.00000,0.00000,0.00000,0.54902,0.54902
12/10/2018,2192553.73780,0.00000,0.00000,0.00000,0.64095,0.64095
12/07/2018,2178590.10204,-0.00003,0.00000,0.00000,-2.38594,-2.38594
12/06/2018,2231300.49611,0.00000,539.96241,0.00000,-0.46847,-0.46847
12/05/2018,2241805.12630,0.00000,539.96241,0.00000,0.00000,0.00000
12/04/2018,2241805.12630,0.00000,539.96241,0.00000,-3.85539,-3.85539
12/03/2018,2331722.97218,0.00010,539.96241,0.00000,1.97278,1.97278
11/30/2018,2285800.84292,0.00001,1341.90374,0.00000,0.92178,0.92178
11/29/2018,2264880.49938,0.00000,1372.47602,0.00000,-0.71028,-0.71028
11/28/2018,2281092.46130,0.00000,1372.47602,0.00000,2.15984,2.15984
11/27/2018,2232837.06343,0.00000,1372.47602,0.00000,-0.01611,-0.01611
11/26/2018,2233196.97777,0.00000,1372.47602,0.00000,1.31326,1.31326
11/23/2018,2204231.57996,0.00000,1372.47602,0.00000,0.11122,0.11122
11/21/2018,2202321.16002,0.00000,832.51361,0.00000,0.44194,0.44194
11/20/2018,2192627.34447,0.00000,832.51361,0.00000,-1.56367,-1.56367
11/19/2018,2227470.68061,0.00034,832.51361,0.00000,-3.09204,-3.09204
11/16/2018,2297438.89391,0.00000,1962.63188,0.00000,-1.09755,-1.09755
