Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_TEC
Folio Number:  9A1547000106
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,2460105.82041,0.00001,0.00000,0.00000,0.32726,0.32726
08/29/2019,2452050.32391,0.00000,30.76410,0.00000,0.93553,0.93553
08/28/2019,2429322.95861,0.00000,30.76410,0.00000,0.21212,0.21212
08/27/2019,2424180.83866,0.00000,30.76410,0.00000,-0.21735,-0.21735
08/26/2019,2429461.40652,0.00000,30.76410,0.00000,0.76415,0.76415
08/23/2019,2411037.15670,0.00000,30.76410,0.00000,-2.79962,-2.79962
08/22/2019,2480482.08076,0.00000,30.76410,0.00000,-0.38449,-0.38449
08/21/2019,2490056.11736,0.00000,30.76410,0.00000,1.15162,1.15162
08/20/2019,2461706.32733,0.00000,30.76410,0.00000,-0.04029,-0.04029
08/19/2019,2462698.67885,0.00000,30.76410,0.00000,1.52423,1.52423
08/16/2019,2425724.49303,0.00000,30.76410,0.00000,2.14917,2.14917
08/15/2019,2374687.71349,0.00000,30.76410,0.00000,-0.29929,-0.29929
08/14/2019,2381816.46108,0.00000,30.76410,0.00000,-2.36715,-2.36715
08/13/2019,2439565.27311,0.00000,30.76410,0.00000,0.99254,0.99254
08/12/2019,2415589.39036,-0.00050,30.76410,0.00000,-1.67452,-1.67452
08/09/2019,2455572.06946,0.00000,1186.89126,0.00000,-1.44692,-1.44692
08/08/2019,2491641.33614,0.00000,1186.89126,0.00000,3.45879,3.45879
08/07/2019,2408332.94890,0.00000,1156.12716,0.00000,0.49060,0.49060
08/06/2019,2396569.81153,0.00000,1156.12716,0.00000,0.81566,0.81566
08/05/2019,2377170.72801,0.00000,1156.12716,0.00000,-3.29314,-3.29314
08/02/2019,2458159.42566,0.00000,1156.12716,0.00000,-1.09726,-1.09726
08/01/2019,2485443.83202,0.00052,1156.12716,0.00000,-1.09048,-1.09048
07/31/2019,2512288.03113,0.00008,1726.86488,0.00000,-1.51804,-1.51804
07/30/2019,2550610.77272,0.00000,2156.24931,0.00000,-0.23826,-0.23826
