Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_SFT
Folio Number:  9A1547000107
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,3638498.26434,0.00000,0.00000,0.00000,0.45047,0.45047
02/14/2019,3622181.39747,0.00000,0.00000,0.00000,0.20575,0.20575
02/13/2019,3614743.97168,0.00000,0.00000,0.00000,0.40628,0.40628
02/12/2019,3600117.34094,0.00000,0.00000,0.00000,0.96952,0.96952
02/11/2019,3565548.72612,0.00000,0.00000,0.00000,0.08417,0.08417
02/08/2019,3562550.15363,0.00000,0.00000,0.00000,0.53163,0.53163
02/07/2019,3543710.68199,0.00000,0.00000,0.00000,-1.93006,-1.93006
02/06/2019,3613452.31455,0.00000,0.00000,0.00000,-0.00718,-0.00718
02/05/2019,3613711.78304,0.00000,0.00000,0.00000,0.33149,0.33149
02/04/2019,3601772.28680,0.00000,0.00000,0.00000,1.33568,1.33568
02/01/2019,3554298.26215,-0.00058,0.00000,0.00000,0.39022,0.39022
01/31/2019,3540136.67659,0.00000,346.01518,0.00000,1.08598,1.08598
01/30/2019,3502100.85881,0.00000,346.01518,0.00000,1.16924,1.16924
01/29/2019,3461622.12909,0.00000,346.01518,0.00000,0.21010,0.21010
01/28/2019,3454363.91530,0.00000,346.01518,0.00000,-1.01032,-1.01032
01/25/2019,3489623.75984,0.00000,346.01518,0.00000,2.53028,2.53028
01/24/2019,3403496.92642,0.00000,346.01518,0.00000,0.79430,0.79430
01/23/2019,3376673.11687,0.00000,346.01518,0.00000,0.47868,0.47868
01/22/2019,3360584.90611,0.00000,346.01518,0.00000,-2.37207,-2.37207
01/18/2019,3442245.63683,0.00000,346.01518,0.00000,1.34441,1.34441
01/17/2019,3396577.22970,0.00019,346.01518,0.00000,1.15829,1.15829
01/16/2019,3357138.77960,0.00000,888.65451,0.00000,1.18607,1.18607
01/15/2019,3317777.16574,-0.00023,888.65451,0.00000,0.23917,0.23917
