Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_SFT
Folio Number:  9A1547000107
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,3445955.36676,-0.00010,0.00000,0.00000,0.21126,0.21126
08/29/2019,3438468.63756,0.00000,222.08473,0.00000,1.52141,1.52141
08/28/2019,3386936.02402,0.00000,222.08473,0.00000,0.22864,0.22864
08/27/2019,3379209.44703,0.00000,222.08473,0.00000,-0.78112,-0.78112
08/26/2019,3405814.72012,0.00000,222.08473,0.00000,0.59597,0.59597
08/23/2019,3385636.09800,0.00000,222.08473,0.00000,-2.99393,-2.99393
08/22/2019,3490135.02844,0.00000,222.08473,0.00000,-0.10366,-0.10366
08/21/2019,3493757.01739,0.00000,222.08473,0.00000,1.31390,1.31390
08/20/2019,3448638.94197,0.00000,28.21075,0.00000,-0.39148,-0.39148
08/19/2019,3462192.95630,0.00000,28.21075,0.00000,1.23332,1.23332
08/16/2019,3420012.94660,0.00000,28.21075,0.00000,2.06653,2.06653
08/15/2019,3350767.77180,0.00000,28.21075,0.00000,-0.64931,-0.64931
08/14/2019,3372666.87117,0.00000,28.21075,0.00000,-3.32960,-3.32960
08/13/2019,3488832.04108,0.00000,28.21075,0.00000,1.36872,1.36872
08/12/2019,3441724.18882,0.00000,28.21075,0.00000,-2.30807,-2.30807
08/09/2019,3523039.11815,0.00000,28.21075,0.00000,-1.31154,-1.31154
08/08/2019,3569859.45579,0.00000,28.21075,0.00000,3.58519,3.58519
08/07/2019,3446330.25665,0.00000,0.00000,0.00000,0.31150,0.31150
08/06/2019,3435628.20829,0.00000,0.00000,0.00000,0.43891,0.43891
08/05/2019,3420614.69702,0.00000,0.00000,0.00000,-4.07839,-4.07839
08/02/2019,3566052.28165,0.00000,0.00000,0.00000,-0.82721,-0.82721
08/01/2019,3595797.02425,0.00054,0.00000,0.00000,-1.54961,-1.54961
07/31/2019,3652045.71593,0.00000,349.22547,0.00000,-0.62381,-0.62381
07/30/2019,3674972.58192,0.00000,349.22547,0.00000,-0.16880,-0.16880
