Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_INET
Folio Number:  9A1547000108
Download Date:  05/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,3358819.69515,0.00000,0.00000,0.00000,0.32565,0.32565
05/02/2019,3347917.36774,0.00000,0.00000,0.00000,0.03038,0.03038
05/01/2019,3346900.62857,-0.00041,0.00000,0.00000,0.27342,0.27342
04/30/2019,3332565.54874,0.00075,5208.96032,0.00000,-0.23809,-0.23809
04/29/2019,3340029.59697,0.00000,5710.93539,0.00000,-0.48958,-0.48958
04/26/2019,3356490.23480,0.00000,5710.93539,0.00000,0.61019,0.61019
04/25/2019,3336098.87806,0.00000,5710.93539,0.00000,-1.06644,-1.06644
04/24/2019,3372121.55429,0.00000,5710.93539,0.00000,-0.74997,-0.74997
04/23/2019,3397645.87211,0.00000,5710.93539,0.00000,0.97684,0.97684
04/22/2019,3364722.22635,0.00000,5710.93539,0.00000,0.82863,0.82863
04/18/2019,3337023.34232,-0.00015,5710.93539,0.00000,-0.21253,-0.21253
04/17/2019,3343946.26414,0.00000,5907.39907,0.00000,0.10528,0.10528
04/16/2019,3340423.39089,0.00000,5907.39907,0.00000,0.66523,0.66523
04/15/2019,3322762.39622,0.00000,1454.60905,0.00000,-0.46867,-0.46867
04/12/2019,3338415.30562,-0.00013,1454.60905,0.00000,0.18695,0.18695
04/11/2019,3332132.35507,0.00000,1505.32893,0.00000,-0.17859,-0.17859
04/10/2019,3338096.71472,0.00000,1505.32893,0.00000,0.58224,0.58224
04/09/2019,3318764.65093,0.00000,1505.32893,0.00000,-0.64824,-0.64824
04/08/2019,3340428.43336,0.00000,1505.32893,0.00000,0.54186,0.54186
04/05/2019,3322417.31955,0.00000,1505.32893,0.00000,0.71674,0.71674
04/04/2019,3298762.85785,0.00000,1505.32893,0.00000,0.11783,0.11783
04/03/2019,3294878.72517,0.00000,1505.32893,0.00000,1.05362,1.05362
04/02/2019,3260509.56812,0.00000,1505.32893,0.00000,0.25764,0.25764
