Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_INET
Folio Number:  9A1547000108
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,3298053.38191,-0.00002,0.00000,0.00000,0.15916,0.15916
08/29/2019,3292570.72963,0.00000,241.73992,0.00000,0.91336,0.91336
08/28/2019,3262767.78602,0.00000,241.73992,0.00000,-0.10788,-0.10788
08/27/2019,3266291.66250,0.00009,241.73992,0.00000,-0.17699,-0.17699
08/26/2019,3271970.12794,0.00000,354.99874,0.00000,0.66152,0.66152
08/23/2019,3250465.46065,0.00000,354.99874,0.00000,-2.43698,-2.43698
08/22/2019,3331666.21887,0.00000,354.99874,0.00000,-0.20061,-0.20061
08/21/2019,3338363.89974,0.00000,354.99874,0.00000,1.22833,1.22833
08/20/2019,3298061.85000,0.00000,144.10256,0.00000,-0.15164,-0.15164
08/19/2019,3303070.98759,0.00000,144.10256,0.00000,1.04186,1.04186
08/16/2019,3269124.36161,0.00000,30.84374,0.00000,1.66799,1.66799
08/15/2019,3215489.89946,55.05938,30.84374,0.00000,0.19613,0.19613
08/14/2019,3209140.49823,0.00000,30.84374,0.00000,-2.41325,-2.41325
08/13/2019,3288500.89989,0.00000,30.84374,0.00000,1.00214,1.00214
08/12/2019,3255872.04198,0.00000,30.84374,0.00000,-1.76776,-1.76776
08/09/2019,3314464.47588,0.00000,30.84374,0.00000,-1.22028,-1.22028
08/08/2019,3355410.12293,0.00000,30.84374,0.00000,2.87022,2.87022
08/07/2019,3261819.49186,0.00000,0.00000,0.00000,0.47155,0.47155
08/06/2019,3246510.58335,0.00000,0.00000,0.00000,0.84253,0.84253
08/05/2019,3219386.31683,0.00000,0.00000,0.00000,-3.22264,-3.22264
08/02/2019,3326590.29689,0.00000,0.00000,0.00000,-1.62376,-1.62376
08/01/2019,3381497.82884,0.00047,0.00000,0.00000,-0.43793,-0.43793
07/31/2019,3395611.79908,-0.00005,759.66300,0.00000,-1.22774,-1.22774
07/30/2019,3437184.28388,0.00000,1404.20706,0.00000,-0.45683,-0.45683
