Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_COM
Folio Number:  9A1547000109
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,1535645.56534,0.00000,0.00000,0.00000,-0.92832,-0.92832
04/12/2019,1550034.90701,-0.00007,0.00000,0.00000,0.32884,0.32884
04/11/2019,1544941.74927,0.00000,12.76506,0.00000,-0.42326,-0.42326
04/10/2019,1551508.78995,0.00000,12.76506,0.00000,0.64810,0.64810
04/09/2019,1541518.19419,0.00000,12.76506,0.00000,-0.62086,-0.62086
04/08/2019,1551148.68297,0.00000,12.76506,0.00000,0.23062,0.23062
04/05/2019,1547579.56729,0.00000,12.76506,0.00000,0.93874,0.93874
04/04/2019,1533186.73891,0.00000,12.76506,0.00000,-0.26302,-0.26302
04/03/2019,1537229.92732,0.00000,12.76506,0.00000,1.59207,1.59207
04/02/2019,1513139.47496,0.00000,12.76506,0.00000,0.21760,0.21760
04/01/2019,1509854.02216,0.00017,12.76506,0.00000,1.24905,1.24905
03/29/2019,1490858.63644,-0.00006,381.76801,0.00000,1.02460,1.02460
03/28/2019,1475631.53097,0.00000,484.59520,0.00000,0.54299,0.54299
03/27/2019,1467672.38168,0.00000,471.83014,0.00000,-0.65436,-0.65436
03/26/2019,1477342.56246,0.00002,471.83014,0.00000,0.68455,0.68455
03/25/2019,1467235.07873,0.00000,531.68102,0.00000,-0.68011,-0.68011
03/22/2019,1477285.82485,0.00034,531.68102,0.00000,-2.97583,-2.97583
03/21/2019,1522311.27821,0.00003,832.39406,0.00000,2.25495,2.25495
03/20/2019,1488651.71830,0.00000,903.28548,0.00000,-0.44843,-0.44843
03/19/2019,1495361.48336,0.00000,903.28548,0.00000,0.56339,0.56339
03/18/2019,1487038.68618,0.00000,843.43460,0.00000,-0.06240,-0.06240
03/15/2019,1487967.65237,0.00008,843.43460,0.00000,0.83856,0.83856
