Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_COM
Folio Number:  9A1547000109
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1516254.23980,0.00001,0.00000,0.00000,0.48238,0.48238
08/29/2019,1508962.95262,0.00000,12.23251,0.00000,1.36609,1.36609
08/28/2019,1488626.74724,0.00000,12.23251,0.00000,0.51285,0.51285
08/27/2019,1481031.25713,0.00000,12.23251,0.00000,-0.67563,-0.67563
08/26/2019,1491105.74418,0.00000,12.23251,0.00000,0.53567,0.53567
08/23/2019,1483160.85782,0.00000,12.23251,0.00000,-2.44816,-2.44816
08/22/2019,1520382.49279,0.00000,12.23251,0.00000,-0.04468,-0.04468
08/21/2019,1521062.05986,0.00000,12.23251,0.00000,0.99298,0.99298
08/20/2019,1506106.67281,0.00000,12.23251,0.00000,-0.36864,-0.36864
08/19/2019,1511679.42107,0.00000,12.23251,0.00000,1.05383,1.05383
08/16/2019,1495914.94025,0.00000,12.23251,0.00000,1.69745,1.69745
08/15/2019,1470946.14852,0.00000,12.23251,0.00000,-0.37384,-0.37384
08/14/2019,1476465.76573,0.00000,12.23251,0.00000,-2.57473,-2.57473
08/13/2019,1515485.73128,0.00000,12.23251,0.00000,1.27721,1.27721
08/12/2019,1496373.70994,0.00000,12.23251,0.00000,-1.38768,-1.38768
08/09/2019,1517430.90903,0.00000,12.23251,0.00000,-1.20491,-1.20491
08/08/2019,1535937.71927,0.00000,12.23251,0.00000,3.52989,3.52989
08/07/2019,1483581.14290,0.00000,0.00000,0.00000,0.24382,0.24382
08/06/2019,1479972.72754,0.00000,0.00000,0.00000,0.78320,0.78320
08/05/2019,1468471.65602,0.00000,0.00000,0.00000,-3.24719,-3.24719
08/02/2019,1517756.11640,0.00000,0.00000,0.00000,-0.18634,-0.18634
08/01/2019,1520589.53956,0.00000,0.00000,0.00000,-1.31271,-1.31271
07/31/2019,1540816.05637,0.00000,0.00000,0.00000,-1.58177,-1.58177
07/30/2019,1565579.86402,0.00000,0.00000,0.00000,-0.09403,-0.09403
