Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_GEN
Folio Number:  9A154700010A
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,3417839.54181,-0.00094,0.00000,0.00000,1.02702,1.02702
06/27/2019,3381870.53373,0.00000,1223.91219,0.00000,0.80085,0.80085
06/26/2019,3354992.14264,0.00000,1223.91219,0.00000,0.43032,0.43032
06/25/2019,3340611.67421,0.00000,1223.91219,0.00000,-0.91983,-0.91983
06/24/2019,3371636.34468,0.00000,1223.91219,0.00000,-0.26054,-0.26054
06/21/2019,3380446.92653,0.00056,1223.91219,0.00000,-0.31544,-0.31544
06/20/2019,3389637.03034,-0.00063,2734.54407,0.00000,1.00390,1.00390
06/19/2019,3354944.80005,0.00000,3709.29212,0.00000,0.38395,0.38395
06/18/2019,3342098.61754,0.00000,3709.29212,0.00000,1.45447,1.45447
06/17/2019,3294132.41812,-0.00003,3709.29212,0.00000,0.38046,0.38046
06/14/2019,3282434.84446,0.00009,2907.61489,0.00000,-0.72746,-0.72746
06/13/2019,3306269.67498,0.00000,3147.61993,0.00000,1.18541,1.18541
06/12/2019,3267499.08694,0.00000,3147.61993,0.00000,-0.07993,-0.07993
06/11/2019,3270115.49074,0.00000,3147.61993,0.00000,0.02534,0.02534
06/10/2019,3269286.22986,0.00000,3147.61993,0.00000,1.23214,1.23214
06/07/2019,3229455.93763,0.00000,3147.61993,0.00000,0.74591,0.74591
06/06/2019,3205522.10161,0.00000,3147.61993,0.00000,0.66138,0.66138
06/05/2019,3185611.87808,0.00000,1975.81830,0.00000,-0.01803,-0.01803
06/04/2019,3187061.22571,0.00000,1101.39762,0.00000,3.40113,3.40113
06/03/2019,3082194.28047,0.00026,1101.39762,0.00000,-0.43521,-0.43521
05/31/2019,3095149.91280,-0.00002,1623.17162,0.00000,-1.04611,-1.04611
05/30/2019,3128066.62902,0.00029,1444.64007,0.00000,0.18985,0.18985
05/29/2019,3122672.43137,0.00000,908.81628,0.00000,-0.77021,-0.77021
05/28/2019,3146917.35596,0.00000,908.81628,0.00000,-0.06046,-0.06046
