Client Name:  Marketocracy Capital Management, LLC
Folio Name:  dlca73_DMF
Folio Number:  9A1547100T01
Download Date:  01/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2018,2072782.18442,0.00018,0.00000,0.00000,0.84861,0.84861
12/28/2018,2055340.38705,-0.00044,0.00000,0.00000,-0.14335,-0.14335
12/27/2018,2057380.48107,-0.00026,910.45022,0.00000,0.78793,0.78793
12/26/2018,2040884.67148,0.00000,1315.19976,0.00000,3.70650,3.70650
12/24/2018,1967895.91251,0.00000,1315.19976,0.00000,-2.76581,-2.76581
12/21/2018,2023909.69530,0.00000,1315.19976,0.00000,-1.90484,-1.90484
12/20/2018,2063236.13593,0.00000,1315.19976,0.00000,-0.77509,-0.77509
12/19/2018,2079363.23165,0.00000,1315.19976,0.00000,-0.77810,-0.77810
12/18/2018,2095679.92727,0.00000,1315.19976,0.00000,-0.13319,-0.13319
12/17/2018,2098476.55047,0.00000,1315.19976,0.00000,-2.03667,-2.03667
12/14/2018,2142131.47323,0.00000,1315.19976,0.00000,-1.42619,-1.42619
12/13/2018,2173143.48977,-0.00024,1315.19976,0.00000,-0.16220,-0.16220
12/12/2018,2175973.91408,-0.00001,2017.56054,0.00000,0.11060,0.11060
12/11/2018,2173374.15483,0.00010,2211.19642,0.00000,-0.02950,-0.02950
12/10/2018,2173975.86719,0.00000,2251.54455,0.00000,-0.13082,-0.13082
12/07/2018,2176826.64474,-0.00013,2251.54455,0.00000,-2.02903,-2.02903
12/06/2018,2221622.57015,0.00000,2585.46693,0.00000,-0.13203,-0.13203
12/05/2018,2224799.65630,0.00000,2348.97289,0.00000,0.00000,0.00000
12/04/2018,2224799.65630,0.00000,2348.97289,0.00000,-2.89281,-2.89281
12/03/2018,2291146.03873,0.00000,2348.97289,0.00000,0.52419,0.52419
11/30/2018,2279186.36238,0.00000,2348.97289,0.00000,0.15832,0.15832
