Client Name:  Marketocracy Capital Management, LLC
Folio Name:  dlca73_DMF
Folio Number:  9A1547100T01
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,2545325.54321,0.00000,0.00000,0.00000,-1.14237,-1.14237
09/30/2019,2574738.67297,0.00088,0.00000,0.00000,0.85273,0.85273
09/27/2019,2552968.85827,-0.00006,0.00000,0.00000,-0.83133,-0.83133
09/26/2019,2572917.75807,0.00000,1452.62672,0.00000,-0.14192,-0.14192
09/25/2019,2576576.43587,0.00000,1452.62672,0.00000,0.71040,0.71040
09/24/2019,2558391.19701,0.00000,1452.62672,0.00000,-0.23653,-0.23653
09/23/2019,2564460.45086,0.00000,1452.62672,0.00000,-0.12625,-0.12625
09/20/2019,2567703.99318,0.00000,1452.62672,0.00000,-0.52334,-0.52334
09/19/2019,2581220.12288,0.00000,1452.62672,0.00000,-0.11633,-0.11633
09/18/2019,2584227.99769,0.00000,1452.62672,0.00000,0.18333,0.18333
09/17/2019,2579496.34567,0.00000,1452.62672,0.00000,0.49007,0.49007
09/16/2019,2566909.47568,0.00000,1452.62672,0.00000,-0.00199,-0.00199
09/13/2019,2566960.61388,-0.00001,1452.62672,0.00000,0.45601,0.45601
09/12/2019,2554553.84270,0.00029,2200.31617,0.00000,0.14510,0.14510
09/11/2019,2550702.12704,0.00000,2347.59726,0.00000,0.52065,0.52065
09/10/2019,2537894.46915,0.00018,1931.62116,0.00000,0.05157,0.05157
09/09/2019,2536106.28365,0.00000,2410.62305,0.00000,-0.61875,-0.61875
09/06/2019,2551911.25586,0.00023,2410.62305,0.00000,0.03838,0.03838
09/05/2019,2550489.29267,0.00000,2852.72980,0.00000,0.57782,0.57782
09/04/2019,2536108.86201,0.00000,2564.15426,0.00000,1.00917,1.00917
09/03/2019,2510745.39599,0.00000,2564.15426,0.00000,0.05720,0.05720
08/30/2019,2509308.52638,0.00000,2564.15426,0.00000,0.24290,0.24290
08/29/2019,2503221.93999,0.00000,2564.15426,0.00000,1.41500,1.41500
08/28/2019,2468259.70186,0.00000,2564.15426,0.00000,0.66758,0.66758
08/27/2019,2452622.02578,0.00000,1816.46481,0.00000,-0.54021,-0.54021
08/26/2019,2465953.16349,0.00000,1816.46481,0.00000,0.58398,0.58398
08/23/2019,2452104.60900,0.00000,1337.46292,0.00000,-2.36655,-2.36655
08/22/2019,2511573.96998,-0.00010,1337.46292,0.00000,0.05790,0.05790
08/21/2019,2509709.46253,0.00000,1747.84335,0.00000,0.62051,0.62051
08/20/2019,2494221.75819,0.00000,1747.84335,0.00000,-0.60329,-0.60329
08/19/2019,2509371.10435,0.00000,1747.84335,0.00000,0.83019,0.83019
08/16/2019,2488695.59296,0.00007,1747.84335,0.00000,1.43919,1.43919
08/15/2019,2452703.05228,-0.00042,2406.74812,0.00000,0.73360,0.73360
08/14/2019,2434701.40969,0.00000,2528.75665,0.00000,-2.11270,-2.11270
08/13/2019,2487989.83065,0.00048,1843.03761,0.00000,1.10789,1.10789
08/12/2019,2460018.32147,0.00000,2532.30550,0.00000,-0.28649,-0.28649
08/09/2019,2467093.45171,0.00000,2532.30550,0.00000,-0.67542,-0.67542
08/08/2019,2484310.50026,0.00000,2108.91903,0.00000,1.88741,1.88741
08/07/2019,2438250.93606,0.00003,2108.91903,0.00000,0.25928,0.25928
08/06/2019,2428955.99822,0.00000,5092.87985,0.00000,0.60487,0.60487
08/05/2019,2414321.78825,0.00000,5092.87985,0.00000,-2.25623,-2.25623
08/02/2019,2470169.51954,0.00000,5092.87985,0.00000,-0.62168,-0.62168
08/01/2019,2486312.90336,-0.00019,4433.97508,0.00000,-0.62278,-0.62278
07/31/2019,2501185.80158,0.00000,5170.27143,0.00000,-1.41312,-1.41312
07/30/2019,2537461.55856,0.00000,4819.90549,0.00000,0.65680,0.65680
07/29/2019,2520872.69559,0.00000,4819.90549,0.00000,-0.01105,-0.01105
07/26/2019,2521841.04645,0.00000,4130.63760,0.00000,-0.28493,-0.28493
07/25/2019,2529058.79001,0.00027,4130.63760,0.00000,-0.00834,-0.00834
07/24/2019,2531707.72461,0.00000,1692.87448,0.00000,0.72530,0.72530
07/23/2019,2513465.39088,0.00000,1692.87448,0.00000,1.22621,1.22621
07/22/2019,2482997.87755,0.00000,1692.87448,0.00000,0.29271,0.29271
07/19/2019,2475746.08989,0.00000,1692.87448,0.00000,-0.86743,-0.86743
07/18/2019,2497424.25972,0.00000,1692.87448,0.00000,0.35081,0.35081
07/17/2019,2488687.66309,0.00000,1692.87448,0.00000,-0.62759,-0.62759
07/16/2019,2504415.82846,0.00000,1692.87448,0.00000,-0.84086,-0.84086
07/15/2019,2525667.49788,0.00000,1692.87448,0.00000,-0.02970,-0.02970
07/12/2019,2526418.45363,0.00000,1692.87448,0.00000,-0.20540,-0.20540
07/11/2019,2531621.79540,0.00000,1692.87448,0.00000,-0.22462,-0.22462
07/10/2019,2537324.97850,0.00000,1692.87448,0.00000,0.35168,0.35168
07/09/2019,2528427.13312,0.00000,1692.87448,0.00000,0.15890,0.15890
07/08/2019,2525149.44241,0.00000,956.57813,0.00000,-0.77279,-0.77279
07/05/2019,2544822.97339,0.00000,956.57813,0.00000,-0.05866,-0.05866
07/03/2019,2547273.76126,0.00000,0.00000,0.00000,0.82148,0.82148
07/02/2019,2526518.87264,0.00000,0.00000,0.00000,0.19130,0.19130
07/01/2019,2521694.94332,0.00000,0.00000,0.00000,0.92863,0.92863
06/28/2019,2498493.29102,-0.00140,0.00000,0.00000,0.91411,0.91411
