Client Name:  Marketocracy Capital Management, LLC
Folio Name:  dlca73_DMF3
Folio Number:  9A1547100T03
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1040393.07169,0.00000,0.00000,0.00000,0.19218,0.19218
06/07/2019,1038397.44397,0.00000,0.00000,0.00000,1.41480,1.41480
06/06/2019,1023911.10693,0.00037,0.00000,0.00000,0.52427,0.52427
06/05/2019,1018157.76452,0.00000,413.30318,0.00000,0.12155,0.12155
06/04/2019,1016921.17617,0.00000,413.30318,0.00000,0.56797,0.56797
06/03/2019,1011175.63107,0.00000,413.30318,0.00000,1.32219,1.32219
05/31/2019,997975.04656,-0.00007,413.30318,0.00000,-0.49980,-0.49980
05/30/2019,1000578.61613,0.00000,2824.77648,0.00000,0.22974,0.22974
05/29/2019,998278.70235,0.00000,2824.77648,0.00000,-0.32836,-0.32836
05/28/2019,1001576.74941,-0.00046,2824.77648,0.00000,-1.37182,-1.37182
05/24/2019,1015340.76903,0.00012,3030.96082,0.00000,0.72694,0.72694
05/23/2019,1004681.67357,0.00000,6340.54980,0.00000,-0.41571,-0.41571
05/22/2019,1008902.17264,0.00000,6340.54980,0.00000,0.17426,0.17426
05/21/2019,1007136.13359,0.00000,6340.54980,0.00000,0.32917,0.32917
05/20/2019,1003811.03084,0.00000,6340.54980,0.00000,0.19947,0.19947
05/17/2019,1001800.07601,0.00000,6340.54980,0.00000,-0.40803,-0.40803
05/16/2019,1005930.40200,0.00000,6340.54980,0.00000,0.64288,0.64288
05/15/2019,999670.49128,0.00000,6134.36546,0.00000,0.56543,0.56543
05/14/2019,994015.37686,0.00000,6134.36546,0.00000,0.32944,0.32944
05/13/2019,990731.31218,0.00011,6134.36546,0.00000,-1.35802,-1.35802
05/10/2019,1004264.35346,0.00000,6325.30548,0.00000,0.48172,0.48172
05/09/2019,999419.47349,0.00004,6325.30548,0.00000,-0.47125,-0.47125
05/08/2019,1003514.42417,0.00000,6992.41570,0.00000,0.28011,0.28011
05/07/2019,1000691.79894,0.00000,6992.41570,0.00000,-1.69680,-1.69680
05/06/2019,1020910.08470,0.00000,4167.63922,0.00000,-0.37579,-0.37579
05/03/2019,1024776.75881,0.00000,4167.63922,0.00000,0.72056,0.72056
05/02/2019,1017415.61231,0.00000,4167.63922,0.00000,-0.18165,-0.18165
05/01/2019,1019274.69609,0.00000,4167.63922,0.00000,-0.39107,-0.39107
04/30/2019,1023292.78328,0.00000,4167.63922,0.00000,0.51306,0.51306
04/29/2019,1018048.19615,-0.00035,4167.63922,0.00000,0.32247,0.32247
04/26/2019,1014054.82955,0.00000,4875.26020,0.00000,0.77931,0.77931
04/25/2019,1006175.60542,0.00000,4875.26020,0.00000,-0.26529,-0.26529
04/24/2019,1009532.07952,0.00000,4208.14998,0.00000,-0.29380,-0.29380
04/23/2019,1013129.51166,0.00000,3597.87175,0.00000,0.32649,0.32649
04/22/2019,1009820.76576,0.00000,3597.87175,0.00000,-0.32662,-0.32662
04/18/2019,1013141.59876,0.00000,3597.87175,0.00000,0.02109,0.02109
04/17/2019,1012927.20707,0.00000,3597.87175,0.00000,-0.10831,-0.10831
04/16/2019,1014029.35815,0.00000,3597.87175,0.00000,-0.31505,-0.31505
04/15/2019,1017245.52005,0.00000,3597.87175,0.00000,0.42713,0.42713
04/12/2019,1015603.04376,0.00000,898.56100,0.00000,-0.25648,-0.25648
04/11/2019,1018216.87827,0.00000,898.56100,0.00000,0.98750,0.98750
04/10/2019,1008251.48592,0.00000,898.56100,0.00000,0.00325,0.00325
04/09/2019,1008218.65812,0.00000,898.56100,0.00000,-1.57063,-1.57063
04/08/2019,1024321.11494,0.00003,898.56100,0.00000,0.22573,0.22573
04/05/2019,1020948.31360,0.00000,1962.35132,0.00000,0.22293,0.22293
04/04/2019,1018672.96039,0.00000,1962.35132,0.00000,0.24223,0.24223
04/03/2019,1016206.65990,0.00000,1962.35132,0.00000,0.33416,0.33416
04/02/2019,1012815.65005,0.00000,1962.35132,0.00000,0.00281,0.00281
04/01/2019,1012787.12492,0.00000,1962.35132,0.00000,0.87470,0.87470
03/29/2019,1003988.09781,0.00000,1962.35132,0.00000,0.14867,0.14867
03/28/2019,1002494.72228,0.00000,1962.35132,0.00000,-0.11654,-0.11654
03/27/2019,1003666.63934,0.00000,1962.35132,0.00000,-0.43751,-0.43751
03/26/2019,1008793.31761,0.00000,1254.73034,0.00000,0.70845,0.70845
03/25/2019,1001687.95024,0.00000,1254.73034,0.00000,-0.01360,-0.01360
03/22/2019,1001824.38302,0.00000,1254.73034,0.00000,-1.86618,-1.86618
03/21/2019,1020899.60240,0.00000,1254.73034,0.00000,0.27954,0.27954
03/20/2019,1018241.12985,0.00000,1063.79032,0.00000,-0.05511,-0.05511
03/19/2019,1018803.15718,0.00000,1063.79032,0.00000,-0.12245,-0.12245
03/18/2019,1020053.52989,0.00015,1063.79032,0.00000,0.41916,0.41916
03/15/2019,1013890.65604,0.00000,2964.42787,0.00000,0.67604,0.67604
03/14/2019,1007062.46870,0.00000,2964.42787,0.00000,0.27002,0.27002
03/13/2019,1004342.51079,-0.00039,2964.42787,0.00000,0.83581,0.83581
03/12/2019,993959.56749,0.00000,4997.98286,0.00000,0.18196,0.18196
03/11/2019,992145.18418,0.00000,4997.98286,0.00000,0.91230,0.91230
03/08/2019,983130.52218,0.00000,4997.98286,0.00000,-0.05011,-0.05011
