Client Name:  Marketocracy Capital Management, LLC
Folio Name:  dlca73_DMF3
Folio Number:  9A1547100T03
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,1046459.75557,0.00000,0.00000,0.00000,-1.05884,-1.05884
09/30/2019,1057658.62557,0.00000,0.00000,0.00000,-0.06830,-0.06830
09/27/2019,1058381.53654,0.00000,0.00000,0.00000,0.12058,0.12058
09/26/2019,1057106.87762,0.00000,0.00000,0.00000,0.28457,0.28457
09/25/2019,1054107.15361,0.00000,0.00000,0.00000,-0.22618,-0.22618
09/24/2019,1056496.74576,0.00000,0.00000,0.00000,-0.43636,-0.43636
09/23/2019,1061127.07647,0.00000,0.00000,0.00000,-0.19805,-0.19805
09/20/2019,1063232.79624,0.00000,0.00000,0.00000,0.57367,0.57367
09/19/2019,1057168.15524,0.00000,0.00000,0.00000,0.39986,0.39986
09/18/2019,1052957.78945,0.00000,0.00000,0.00000,-0.13397,-0.13397
09/17/2019,1054370.34938,0.00000,0.00000,0.00000,0.69294,0.69294
09/16/2019,1047114.50394,0.00000,0.00000,0.00000,-0.39136,-0.39136
09/13/2019,1051228.62099,0.00000,0.00000,0.00000,-0.23238,-0.23238
09/12/2019,1053677.18460,0.00000,0.00000,0.00000,0.54156,0.54156
09/11/2019,1048001.59305,0.00000,0.00000,0.00000,0.41843,0.41843
09/10/2019,1043634.69223,0.00000,0.00000,0.00000,-0.06510,-0.06510
09/09/2019,1044314.49391,0.00000,0.00000,0.00000,-0.31540,-0.31540
09/06/2019,1047618.72056,0.00000,0.00000,0.00000,0.48325,0.48325
09/05/2019,1042580.43568,0.00000,0.00000,0.00000,0.36094,0.36094
09/04/2019,1038830.83122,0.00000,0.00000,0.00000,1.17662,1.17662
09/03/2019,1026749.91765,0.00000,0.00000,0.00000,0.02199,0.02199
08/30/2019,1026524.23514,0.00000,0.00000,0.00000,0.35228,0.35228
08/29/2019,1022920.69336,0.00000,0.00000,0.00000,0.56966,0.56966
08/28/2019,1017126.54404,0.00000,0.00000,0.00000,0.13602,0.13602
08/27/2019,1015744.92863,0.00000,0.00000,0.00000,-0.16368,-0.16368
08/26/2019,1017410.21669,0.00000,0.00000,0.00000,0.71922,0.71922
08/23/2019,1010145.02115,-0.00036,0.00000,0.00000,-0.87023,-0.87023
08/22/2019,1018406.81155,0.00000,605.97630,0.00000,-0.22868,-0.22868
08/21/2019,1020742.43078,0.00000,605.97630,0.00000,0.67864,0.67864
08/20/2019,1013857.89160,0.00000,605.97630,0.00000,-0.55017,-0.55017
08/19/2019,1019470.01845,0.00002,605.97630,0.00000,0.27336,0.27336
08/16/2019,1016310.60193,0.00000,984.48026,0.00000,0.95677,0.95677
08/15/2019,1006669.70839,0.00000,984.48026,0.00000,-0.17602,-0.17602
08/14/2019,1008446.53806,0.00000,984.48026,0.00000,-2.06851,-2.06851
08/13/2019,1029767.70379,-0.00008,984.48026,0.00000,0.61609,0.61609
08/12/2019,1023275.01286,0.00000,1165.69136,0.00000,-1.31162,-1.31162
08/09/2019,1036890.36000,0.00000,1165.69136,0.00000,-0.05714,-0.05714
08/08/2019,1037862.40021,0.00000,787.18740,0.00000,1.16086,1.16086
08/07/2019,1025943.44484,0.00000,787.18740,0.00000,0.38441,0.38441
08/06/2019,1020425.64524,0.00000,2373.19751,0.00000,0.08765,0.08765
08/05/2019,1019529.98467,0.00000,2373.19751,0.00000,-1.90499,-1.90499
08/02/2019,1039375.15654,0.00000,2373.19751,0.00000,-0.48969,-0.48969
08/01/2019,1044501.56863,0.00001,2373.19751,0.00000,-0.33937,-0.33937
07/31/2019,1043505.27476,0.00000,6934.31582,0.00000,-0.68319,-0.68319
07/30/2019,1050731.12133,0.00000,6934.31582,0.00000,-0.74792,-0.74792
07/29/2019,1058701.20165,-0.00023,6934.31582,0.00000,0.17897,0.17897
07/26/2019,1056095.61182,0.00000,7636.16949,0.00000,0.55119,0.55119
07/25/2019,1050264.62069,0.00000,7636.16949,0.00000,-0.56887,-0.56887
07/24/2019,1056317.11979,0.00000,7636.16949,0.00000,-0.13864,-0.13864
07/23/2019,1058400.21440,0.00000,7030.19319,0.00000,0.24222,0.24222
07/22/2019,1055825.81076,-0.00003,7030.19319,0.00000,0.07860,0.07860
07/19/2019,1054546.37237,0.00000,7474.93159,0.00000,-0.53092,-0.53092
07/18/2019,1060214.95643,0.00000,7474.93159,0.00000,0.74549,0.74549
07/17/2019,1052176.15964,0.00000,7613.07737,0.00000,0.41617,0.41617
07/16/2019,1047783.90814,0.00000,7613.07737,0.00000,-0.24816,-0.24816
07/15/2019,1050409.53252,0.00000,7613.07737,0.00000,0.40627,0.40627
07/12/2019,1046128.45739,0.00000,7613.07737,0.00000,-0.73177,-0.73177
07/11/2019,1053896.22780,0.00000,7613.07737,0.00000,-0.66994,-0.66994
07/10/2019,1061500.40545,0.00000,7168.33897,0.00000,0.18460,0.18460
07/09/2019,1059531.24535,0.00000,7168.33897,0.00000,-0.15985,-0.15985
07/08/2019,1061377.22506,0.00000,7030.19319,0.00000,-0.30167,-0.30167
07/05/2019,1069171.17354,0.00007,2469.07488,0.00000,-0.64103,-0.64103
07/03/2019,1075165.70568,0.00000,3388.40014,0.00000,0.50788,0.50788
07/02/2019,1069715.59730,0.00000,3388.40014,0.00000,0.12504,0.12504
07/01/2019,1068375.51079,0.00000,3388.40014,0.00000,0.12316,0.12316
06/28/2019,1067057.12883,0.00000,3388.40014,0.00000,0.44904,0.44904
