Client Name:  Marketocracy Capital Management, LLC
Folio Name:  docrb_HCSC1
Folio Number:  9A1547500X01
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,988006.08271,0.00000,0.00000,0.00000,0.04209,0.04209
03/29/2019,987590.36017,-0.00122,0.00000,0.00000,0.12524,0.12524
03/28/2019,986199.15168,0.00000,155.90311,0.00000,-0.05368,-0.05368
03/27/2019,986728.94922,0.00000,155.90311,0.00000,-0.18365,-0.18365
03/26/2019,988544.69021,0.00000,155.90311,0.00000,-0.16001,-0.16001
03/25/2019,990129.22970,0.00000,155.90311,0.00000,-0.13811,-0.13811
03/22/2019,991498.79696,0.00000,155.90311,0.00000,-0.14575,-0.14575
03/21/2019,992946.20894,0.00000,155.90311,0.00000,0.10937,0.10937
03/20/2019,991861.22421,0.00000,155.90311,0.00000,-0.15237,-0.15237
03/19/2019,993375.06517,0.00000,155.90311,0.00000,0.01999,0.01999
03/18/2019,993176.45490,0.00000,155.90311,0.00000,0.16581,0.16581
03/15/2019,991532.10049,0.00000,155.90311,0.00000,-0.04890,-0.04890
03/14/2019,992173.14124,0.00000,0.00000,0.00000,-0.00449,-0.00449
03/13/2019,992217.69033,0.00000,0.00000,0.00000,0.24387,0.24387
03/12/2019,989803.90067,0.00000,0.00000,0.00000,0.07306,0.07306
03/11/2019,989081.25614,0.00000,0.00000,0.00000,0.06681,0.06681
03/08/2019,988420.94119,0.00000,0.00000,0.00000,0.10517,0.10517
03/07/2019,987382.46227,0.00000,0.00000,0.00000,-0.15679,-0.15679
03/06/2019,988933.04925,0.00000,0.00000,0.00000,-0.13988,-0.13988
03/05/2019,990318.25827,0.00000,0.00000,0.00000,0.06108,0.06108
03/04/2019,989713.73799,0.00000,0.00000,0.00000,-0.42343,-0.42343
03/01/2019,993922.26330,0.00000,0.00000,0.00000,0.15414,0.15414
