Client Name:  Marketocracy Capital Management, LLC
Folio Name:  docrb_HCSC1
Folio Number:  9A1547500X01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,992425.09207,0.00000,0.00000,0.00000,-0.02504,-0.02504
07/01/2020,992673.69635,0.00000,0.00000,0.00000,0.08903,0.08903
06/30/2020,991790.66077,0.00000,0.00000,0.00000,0.10819,0.10819
06/29/2020,990718.80047,0.00000,0.00000,0.00000,0.13236,0.13236
06/26/2020,989409.22500,0.00000,0.00000,0.00000,-0.14230,-0.14230
06/25/2020,990819.11236,0.00065,0.00000,0.00000,0.12548,0.12548
06/24/2020,989389.32691,0.00000,188.07334,0.00000,-0.30958,-0.30958
06/23/2020,992462.34602,0.00000,188.07334,0.00000,0.08343,0.08343
06/22/2020,991634.89857,0.00000,188.07334,0.00000,-0.03600,-0.03600
06/19/2020,991992.05178,0.00000,188.07334,0.00000,0.01796,0.01796
06/18/2020,991813.87703,0.00000,188.07334,0.00000,-0.03507,-0.03507
06/17/2020,992161.86010,0.00000,188.07334,0.00000,-0.06963,-0.06963
06/16/2020,992853.36009,0.00000,188.07334,0.00000,0.24075,0.24075
06/15/2020,990468.34521,0.00000,188.07334,0.00000,-0.11899,-0.11899
06/12/2020,991648.53888,0.00000,188.07334,0.00000,0.08477,0.08477
06/11/2020,990808.49272,0.00000,188.07334,0.00000,-0.74105,-0.74105
06/10/2020,998207.07912,0.00000,188.07334,0.00000,-0.16209,-0.16209
06/09/2020,999828.00161,0.00000,188.07334,0.00000,-0.24631,-0.24631
06/08/2020,1002485.27964,0.00000,0.00000,0.00000,0.39012,0.39012
06/05/2020,998589.59236,0.00000,0.00000,0.00000,0.22641,0.22641
06/04/2020,996333.76594,0.00000,0.00000,0.00000,-0.16195,-0.16195
06/03/2020,997949.94542,0.00000,0.00000,0.00000,-0.09710,-0.09710
06/02/2020,998919.86143,0.00000,0.00000,0.00000,0.15599,0.15599
06/01/2020,997364.03987,0.00000,0.00000,0.00000,-0.07666,-0.07666
