Client Name:  Marketocracy Capital Management, LLC
Folio Name:  aqatrading_ALPHA
Folio Number:  9A1547600P01
Download Date:  01/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2018,1257799.37949,0.00000,0.00000,0.00000,2.18108,2.18108
12/28/2018,1230951.28708,0.00000,0.00000,0.00000,0.59324,0.59324
12/27/2018,1223691.80569,0.00008,0.00000,0.00000,0.54946,0.54946
12/26/2018,1217004.88714,-0.00017,0.00000,0.00000,6.87002,6.87002
12/24/2018,1138771.07887,282.51310,0.00000,0.00000,-0.79578,-0.79578
12/21/2018,1147622.21094,-282.51318,0.00000,0.00000,4.42061,4.42061
12/20/2018,1099032.08064,0.00000,282.51314,0.00000,3.71284,3.71284
12/19/2018,1059677.42030,76.08331,282.51314,0.00000,4.72526,4.72526
12/18/2018,1011777.06049,-76.08329,282.51314,0.00000,-0.14922,-0.14922
12/17/2018,1013289.54055,0.00061,358.59627,0.00000,1.39415,1.39415
12/14/2018,999634.59018,-0.00011,76.08313,0.00000,-2.41126,-2.41126
12/13/2018,1024335.78097,-0.00015,76.08313,0.00000,-1.54542,-1.54542
12/12/2018,1040415.70221,-0.00021,76.08313,0.00000,-0.93339,-0.93339
12/11/2018,1050219.07675,0.00000,76.08313,0.00000,0.19930,0.19930
12/10/2018,1048130.01551,0.00000,76.08313,0.00000,-0.67109,-0.67109
12/07/2018,1055211.99503,0.00000,76.08313,0.00000,5.61140,5.61140
12/06/2018,999141.90499,-0.00016,76.08313,0.00000,0.34234,0.34234
12/05/2018,995732.86827,0.00000,76.08313,0.00000,0.00000,0.00000
12/04/2018,995732.86827,0.00000,76.08313,0.00000,0.06773,0.06773
12/03/2018,995058.82339,-0.00022,76.08313,0.00000,-0.29222,-0.29222
11/30/2018,995473.05407,0.00000,2578.37267,0.00000,0.09411,0.09411
