Client Name:  Marketocracy Capital Management, LLC
Folio Name:  aqatrading_ALPHA
Folio Number:  9A1547600P01
Download Date:  11/20/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/16/2018,995354.70253,0.00000,0.00000,0.00000,-0.05348,-0.05348
11/15/2018,995887.28443,0.00000,0.00000,0.00000,-0.00509,-0.00509
11/14/2018,995938.00652,0.00000,0.00000,0.00000,0.05180,0.05180
11/13/2018,995422.33198,0.00000,0.00000,0.00000,-0.10774,-0.10774
11/12/2018,996495.94945,0.00000,0.00000,0.00000,-0.04833,-0.04833
11/09/2018,996977.80927,0.00000,0.00000,0.00000,-0.03052,-0.03052
11/08/2018,997282.14178,0.00000,0.00000,0.00000,0.04580,0.04580
11/07/2018,996825.64301,0.00000,0.00000,0.00000,0.22609,0.22609
11/06/2018,994576.96389,0.00000,0.00000,0.00000,0.15920,0.15920
11/05/2018,992996.12556,0.00000,0.00000,0.00000,0.02384,0.02384
11/02/2018,992759.42250,0.00000,0.00000,0.00000,-0.11058,-0.11058
11/01/2018,993858.40101,0.00000,0.00000,0.00000,0.09280,0.09280
10/31/2018,992936.94980,0.00000,0.00000,0.00000,-0.00341,-0.00341
10/30/2018,992970.76452,0.00000,0.00000,0.00000,-0.20306,-0.20306
10/29/2018,994991.19425,0.00000,0.00000,0.00000,-0.18149,-0.18149
10/26/2018,996800.28197,0.00000,0.00000,0.00000,0.08573,0.08573
10/25/2018,995946.46020,0.00000,0.00000,0.00000,0.01698,0.01698
10/24/2018,995777.38658,0.00000,0.00000,0.00000,-0.30975,-0.30975
10/23/2018,998871.43379,0.00000,0.00000,0.00000,-0.04399,-0.04399
10/22/2018,999311.02519,0.00000,0.00000,0.00000,-0.05327,-0.05327
10/19/2018,999843.60709,0.00000,0.00000,0.00000,-0.04817,-0.04817
10/18/2018,1000325.46690,0.00000,0.00000,0.00000,-0.21756,-0.21756
10/17/2018,1002506.51657,0.00000,0.00000,0.00000,-0.02529,-0.02529
10/16/2018,1002760.12700,0.00000,0.00000,0.00000,0.16382,0.16382
10/15/2018,1001120.11291,0.00000,0.00000,0.00000,0.23785,0.23785
10/12/2018,998744.62857,0.00000,0.00000,0.00000,0.17637,0.17637
10/11/2018,996986.26295,0.00000,0.00000,0.00000,-0.04831,-0.04831
10/10/2018,997468.12276,0.00000,0.00000,0.00000,-0.14218,-0.14218
10/09/2018,998888.34115,1000000.00019,0.00000,0.00000,-0.11117,-0.11117
