Client Name:  Marketocracy Capital Management, LLC
Folio Name:  aqatrading_STOCKS
Folio Number:  9A1547600P02
Download Date:  01/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2018,997779.29796,0.00000,0.00000,0.00000,0.05115,0.05115
12/28/2018,997269.22083,0.00000,0.00000,0.00000,0.04618,0.04618
12/27/2018,996808.90732,0.00000,0.00000,0.00000,0.17754,0.17754
12/26/2018,995042.29872,0.00000,0.00000,0.00000,0.28651,0.28651
12/24/2018,992199.55180,0.00000,0.00000,0.00000,-0.05890,-0.05890
12/21/2018,992784.27436,0.00000,0.00000,0.00000,-0.15140,-0.15140
12/20/2018,994289.62394,0.00000,0.00000,0.00000,-0.09438,-0.09438
12/19/2018,995228.91231,0.00000,0.00000,0.00000,-0.20210,-0.20210
12/18/2018,997244.33902,0.00000,0.00000,0.00000,0.00374,0.00374
12/17/2018,997207.01630,0.00000,0.00000,0.00000,-0.20605,-0.20605
12/14/2018,999265.98618,999999.99961,0.00000,0.00000,-0.07340,-0.07340
12/13/2018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
