Client Name:  Marketocracy Capital Management, LLC
Folio Name:  garyheyland_ghgf
Folio Number:  9A1547600P03
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
08/01/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/31/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/30/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/29/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/26/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/25/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/24/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/23/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/22/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/19/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/18/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/17/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/16/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/15/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/12/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/11/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/10/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/09/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/08/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/05/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/03/2019,1000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2019,1000000.00000,1000000.00000,0.00000,0.00000,0.00000,0.00000
07/01/2019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
