Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_PIKS
Folio Number:  9A1547700H01
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,3446527.17763,0.00000,0.00000,0.00000,-0.38023,-0.38023
02/27/2019,3459681.77082,-0.00009,0.00000,0.00000,-0.08420,-0.08420
02/26/2019,3462597.16006,0.00000,0.00000,0.00000,-0.06002,-0.06002
02/25/2019,3464676.78561,-0.00007,0.00000,0.00000,0.03824,0.03824
02/22/2019,3463352.53709,0.00000,0.00000,0.00000,0.69560,0.69560
02/21/2019,3439427.84273,0.00000,0.00000,0.00000,-0.65543,-0.65543
02/20/2019,3462119.64017,-0.00047,0.00000,0.00000,-0.08295,-0.08295
02/19/2019,3464668.61465,0.00000,325.10435,0.00000,0.37239,0.37239
02/15/2019,3451813.18094,0.00004,325.10435,0.00000,0.35864,0.35864
02/14/2019,3438914.04624,-0.00078,887.71723,0.00000,0.04684,0.04684
02/13/2019,3436713.87480,0.00000,1477.27445,0.00000,0.15962,0.15962
02/12/2019,3431234.51116,0.00000,1477.27445,0.00000,1.52191,1.52191
02/11/2019,3379774.79901,-0.00034,1477.27445,0.00000,0.16036,0.16036
02/08/2019,3374192.87887,0.00000,1645.67754,0.00000,-0.19177,-0.19177
02/07/2019,3380945.43367,0.00000,1379.42889,0.00000,-1.31323,-1.31323
02/06/2019,3425954.04283,0.00000,1379.42889,0.00000,-0.81835,-0.81835
02/05/2019,3454233.01642,0.00000,1379.42889,0.00000,0.53071,0.53071
02/04/2019,3435990.54200,0.00025,1379.42889,0.00000,0.82310,0.82310
02/01/2019,3407784.67460,-0.00010,1523.24756,0.00000,-0.89273,-0.89273
01/31/2019,3438367.50471,-0.00028,1650.41024,0.00000,1.51343,1.51343
01/30/2019,3387026.58681,0.00000,1705.39048,0.00000,1.91878,1.91878
01/29/2019,3323396.95907,0.00000,1536.98739,0.00000,-0.54379,-0.54379
01/28/2019,3341576.43948,0.00000,1536.98739,0.00000,-1.37492,-1.37492
