Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_PIKS
Folio Number:  9A1547700H01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4190565.85885,0.00027,0.00000,0.00000,0.87429,0.87429
07/01/2020,4154010.22801,-0.00004,235.47721,0.00000,1.08807,1.08807
06/30/2020,4109118.82757,-0.00110,412.11785,0.00000,1.57814,1.57814
06/29/2020,4044161.93364,0.00000,1522.40364,0.00000,1.27140,1.27140
06/26/2020,3993370.69219,-0.00006,1522.40364,0.00000,-2.72320,-2.72320
06/25/2020,4105196.78845,0.00000,1530.71518,0.00000,0.71469,0.71469
06/24/2020,4076110.74133,0.00000,1474.50636,0.00000,-1.97379,-1.97379
06/23/2020,4158214.10508,0.00000,1474.50636,0.00000,0.82622,0.82622
06/22/2020,4124127.75979,0.00000,1474.50636,0.00000,0.98178,0.98178
06/19/2020,4084017.32143,-0.00003,1474.50636,0.00000,-0.22831,-0.22831
06/18/2020,4094018.14717,0.00019,822.63354,0.00000,-0.17470,-0.17470
06/17/2020,4100911.38613,0.00027,1095.41113,0.00000,0.12660,0.12660
06/16/2020,4095698.06461,0.00000,1122.25921,0.00000,1.64400,1.64400
06/15/2020,4029435.66392,-0.00065,1122.25921,0.00000,0.76969,0.76969
06/12/2020,3998384.66403,0.00011,1387.34501,0.00000,0.61573,0.61573
06/11/2020,3973800.07693,0.00024,1494.67217,0.00000,-4.30521,-4.30521
06/10/2020,4152356.67017,-0.00121,1782.62191,0.00000,0.29057,0.29057
06/09/2020,4140130.45305,0.00000,1972.99012,0.00000,0.05450,0.05450
06/08/2020,4137974.41601,-0.00052,1872.61256,0.00000,0.92576,0.92576
06/05/2020,4099941.41508,0.00034,1932.23693,0.00000,2.01360,2.01360
06/04/2020,4018728.38217,0.00000,2180.20023,0.00000,-0.81978,-0.81978
06/03/2020,4052188.98746,-0.00011,1954.69968,0.00000,0.38411,0.38411
06/02/2020,4036103.51754,0.00000,2527.24564,0.00000,0.61313,0.61313
06/01/2020,4011492.33313,-0.00025,2527.24564,0.00000,0.42195,0.42195
