Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_GTRAX
Folio Number:  9A1547700H02
Download Date:  01/20/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/17/2020,8263590.16966,0.00000,0.00000,0.00000,-0.54822,-0.54822
01/16/2020,8309142.56659,0.00000,0.00000,0.00000,1.07825,1.07825
01/15/2020,8220504.70818,0.00000,0.00000,0.00000,0.18431,0.18431
01/14/2020,8205381.18043,0.00000,0.00000,0.00000,-0.97406,-0.97406
01/13/2020,8286093.00533,0.00000,0.00000,0.00000,1.79643,1.79643
01/10/2020,8139866.38536,0.00000,0.00000,0.00000,-0.16627,-0.16627
01/09/2020,8153423.12747,0.00000,0.00000,0.00000,0.54856,0.54856
01/08/2020,8108940.62305,0.00000,0.00000,0.00000,0.95999,0.95999
01/07/2020,8031835.82755,0.00065,0.00000,0.00000,0.04462,0.04462
01/06/2020,8027828.98390,0.00000,424.55508,0.00000,1.14347,1.14347
01/03/2020,7937066.16405,0.00000,424.55508,0.00000,-0.71167,-0.71167
01/02/2020,7993960.17590,-0.00064,424.55508,0.00000,1.90711,1.90711
12/31/2019,7843911.37650,0.00046,864.98452,0.00000,0.46049,0.46049
12/30/2019,7807596.24368,0.00000,1221.49964,0.00000,-1.81172,-1.81172
12/27/2019,7951680.81957,0.00105,1221.49964,0.00000,-0.11645,-0.11645
12/26/2019,7960647.62248,0.00000,1526.50653,0.00000,0.70121,0.70121
12/24/2019,7905205.11808,0.00000,1526.50653,0.00000,0.35029,0.35029
12/23/2019,7877605.36688,0.00000,1526.50653,0.00000,0.30155,0.30155
12/20/2019,7853917.11189,0.00000,1526.50653,0.00000,0.07636,0.07636
12/19/2019,7847923.16331,0.00052,1526.50653,0.00000,0.78367,0.78367
12/18/2019,7786862.94826,0.00000,1551.16914,0.00000,0.45191,0.45191
12/17/2019,7751824.53994,0.00000,1551.16914,0.00000,-0.32825,-0.32825
12/16/2019,7777358.91943,0.00092,1551.16914,0.00000,1.53610,1.53610
12/13/2019,7659780.22718,0.00000,1445.50136,0.00000,0.13025,0.13025
