Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_GTRAX
Folio Number:  9A1547700H02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,10348663.41604,0.00000,0.00000,0.00000,1.03347,1.03347
07/01/2020,10242806.74867,-0.00066,0.00000,0.00000,2.83751,2.83751
06/30/2020,9959739.32894,0.00128,445.88877,0.00000,1.55289,1.55289
06/29/2020,9806179.81693,0.00000,1699.60409,0.00000,1.00116,1.00116
06/26/2020,9708960.58036,0.00000,1699.60409,0.00000,-1.57744,-1.57744
06/25/2020,9864595.19483,0.00000,1699.60409,0.00000,1.93175,1.93175
06/24/2020,9677614.69484,0.00000,1699.60409,0.00000,-3.36118,-3.36118
06/23/2020,10014269.66504,0.00000,1699.60409,0.00000,-0.14139,-0.14139
06/22/2020,10028451.51997,0.00000,1699.60409,0.00000,0.99429,0.99429
06/19/2020,9929704.45731,0.00000,1699.60409,0.00000,0.77086,0.77086
06/18/2020,9853732.50304,-0.00015,1699.60409,0.00000,1.37277,1.37277
06/17/2020,9720100.59193,-0.00001,1871.07694,0.00000,1.01831,1.01831
06/16/2020,9621984.00888,0.00000,1985.97978,0.00000,1.41593,1.41593
06/15/2020,9487617.49678,0.00009,1985.97978,0.00000,3.03041,3.03041
06/12/2020,9208650.84492,0.00000,1837.24796,0.00000,1.56681,1.56681
06/11/2020,9066999.37641,0.00002,1403.84378,0.00000,-5.33744,-5.33744
06/10/2020,9578145.39013,0.00030,1569.52598,0.00000,1.45189,1.45189
06/09/2020,9439933.15493,0.00000,2684.88904,0.00000,-0.56272,-0.56272
06/08/2020,9493369.40560,0.00000,2684.88904,0.00000,1.20734,1.20734
06/05/2020,9380087.09711,0.00000,2684.88904,0.00000,2.84052,2.84052
06/04/2020,9120928.57670,0.00000,2684.88904,0.00000,-2.65799,-2.65799
06/03/2020,9370631.52491,0.00000,2108.54363,0.00000,-0.15465,-0.15465
06/02/2020,9385149.18034,0.00000,2108.54363,0.00000,1.61008,1.61008
06/01/2020,9236401.47067,0.00000,2108.54363,0.00000,1.18364,1.18364
