Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_REACT
Folio Number:  9A1547700H03
Download Date:  07/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/28/2019,1888021.91483,0.00000,0.00000,0.00000,0.11959,0.11959
06/27/2019,1885766.69236,0.00000,0.00000,0.00000,0.43294,0.43294
06/26/2019,1877637.72830,0.00000,0.00000,0.00000,0.16123,0.16123
06/25/2019,1874615.21379,0.00000,0.00000,0.00000,-1.15116,-1.15116
06/24/2019,1896446.24975,0.00000,0.00000,0.00000,-0.43502,-0.43502
06/21/2019,1904732.13421,0.00000,0.00000,0.00000,-0.75786,-0.75786
06/20/2019,1919277.61338,0.00000,0.00000,0.00000,0.10301,0.10301
06/19/2019,1917302.69144,0.00000,0.00000,0.00000,0.28944,0.28944
06/18/2019,1911769.28843,0.00000,0.00000,0.00000,1.21172,1.21172
06/17/2019,1888881.33096,0.00000,0.00000,0.00000,0.93570,0.93570
06/14/2019,1871370.94898,0.00000,0.00000,0.00000,0.39094,0.39094
06/13/2019,1864083.42381,0.00000,0.00000,0.00000,1.15924,1.15924
06/12/2019,1842721.84196,0.00000,0.00000,0.00000,-0.09192,-0.09192
06/11/2019,1844417.15444,0.00044,0.00000,0.00000,0.43515,0.43515
06/10/2019,1836219.02500,0.00000,206.85023,0.00000,-0.03300,-0.03300
06/07/2019,1836825.20785,0.00000,206.85023,0.00000,0.82093,0.82093
06/06/2019,1821867.30751,0.00000,206.85023,0.00000,-0.91175,-0.91175
06/05/2019,1838632.87772,0.00000,206.85023,0.00000,1.19985,1.19985
06/04/2019,1816831.20801,0.00000,206.85023,0.00000,2.20365,2.20365
06/03/2019,1777653.30390,0.00000,206.85023,0.00000,-0.08752,-0.08752
05/31/2019,1779210.67798,0.00000,206.85023,0.00000,0.07066,0.07066
05/30/2019,1777954.29608,0.00000,206.85023,0.00000,0.81040,0.81040
05/29/2019,1763659.85829,0.00000,206.85023,0.00000,-2.59732,-2.59732
05/28/2019,1810694.72493,0.00000,206.85023,0.00000,-0.05139,-0.05139
