Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_REACT
Folio Number:  9A1547700H03
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2276300.58972,0.00000,0.00000,0.00000,-0.48525,-0.48525
07/01/2020,2287400.11525,0.00000,0.00000,0.00000,-0.49645,-0.49645
06/30/2020,2298812.61162,0.00000,0.00000,0.00000,2.68343,2.68343
06/29/2020,2238737.74434,0.00000,0.00000,0.00000,1.81241,1.81241
06/26/2020,2198884.93627,0.00000,0.00000,0.00000,-1.83670,-1.83670
06/25/2020,2240027.53961,0.00000,0.00000,0.00000,0.19071,0.19071
06/24/2020,2235763.79563,0.00000,0.00000,0.00000,-1.57479,-1.57479
06/23/2020,2271535.73207,0.00000,0.00000,0.00000,-0.05821,-0.05821
06/22/2020,2272858.72295,0.00000,0.00000,0.00000,1.61476,1.61476
06/19/2020,2236740.83451,0.00000,0.00000,0.00000,-0.99857,-0.99857
06/18/2020,2259301.65256,0.00000,0.00000,0.00000,-0.32606,-0.32606
06/17/2020,2266692.41085,0.00000,0.00000,0.00000,-0.83386,-0.83386
06/16/2020,2285752.38700,0.00000,0.00000,0.00000,1.93260,1.93260
06/15/2020,2242415.48707,0.00000,0.00000,0.00000,1.26048,1.26048
06/12/2020,2214502.04422,0.00000,0.00000,0.00000,-1.05680,-1.05680
06/11/2020,2238154.80872,0.00000,0.00000,0.00000,-3.88435,-3.88435
06/10/2020,2328606.01024,0.00000,0.00000,0.00000,0.67204,0.67204
06/09/2020,2313061.32124,0.00018,0.00000,0.00000,0.19208,0.19208
06/08/2020,2308417.06572,0.00000,209.79831,0.00000,-0.00124,-0.00124
06/05/2020,2308445.72483,0.00000,209.79831,0.00000,1.32207,1.32207
06/04/2020,2278321.98297,0.00000,209.79831,0.00000,-0.95305,-0.95305
06/03/2020,2300246.45478,0.00000,209.79831,0.00000,2.31089,2.31089
06/02/2020,2248286.17287,0.00000,209.79831,0.00000,0.83120,0.83120
06/01/2020,2229750.75504,0.00000,209.79831,0.00000,1.21782,1.21782
