Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_RATE
Folio Number:  9A1547700H04
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,2725460.53834,0.00000,0.00000,0.00000,-0.29123,-0.29123
02/27/2019,2733421.08937,0.00020,0.00000,0.00000,-0.08661,-0.08661
02/26/2019,2735790.43409,0.00000,0.00000,0.00000,-0.06172,-0.06172
02/25/2019,2737479.88697,0.00000,0.00000,0.00000,0.05656,0.05656
02/22/2019,2735932.47227,0.00034,0.00000,0.00000,0.83685,0.83685
02/21/2019,2712987.40612,-0.00031,239.40486,0.00000,-0.43862,-0.43862
02/20/2019,2724808.57519,0.00000,371.42805,0.00000,-0.29169,-0.29169
02/19/2019,2732780.77094,0.00000,371.42805,0.00000,0.20029,0.20029
02/15/2019,2727317.59090,-0.00015,371.42805,0.00000,0.31552,0.31552
02/14/2019,2717651.83438,-0.00004,1457.92189,0.00000,0.10967,0.10967
02/13/2019,2714388.67230,0.00000,1742.29881,0.00000,-0.26036,-0.26036
02/12/2019,2721478.94666,0.00000,1742.29881,0.00000,1.46990,1.46990
02/11/2019,2682030.24428,0.00000,1742.29881,0.00000,-0.03589,-0.03589
02/08/2019,2683125.92669,-0.00017,1610.27562,0.00000,0.38917,0.38917
02/07/2019,2672765.35198,0.00000,1563.05015,0.00000,-0.88670,-0.88670
02/06/2019,2696690.88900,0.00000,1563.05015,0.00000,-0.29699,-0.29699
02/05/2019,2704728.33898,0.00000,1563.05015,0.00000,0.51636,0.51636
02/04/2019,2690825.92499,-0.00002,1563.05015,0.00000,1.19887,1.19887
02/01/2019,2658416.27154,0.00000,2076.80415,0.00000,0.22977,0.22977
01/31/2019,2652317.37685,0.00000,2076.80415,0.00000,0.58505,0.58505
01/30/2019,2637964.71321,0.00000,990.31031,0.00000,1.37215,1.37215
01/29/2019,2602244.30603,0.00000,990.31031,0.00000,-0.56853,-0.56853
01/28/2019,2617129.09386,0.00000,990.31031,0.00000,-0.58651,-0.58651
