Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_RATE
Folio Number:  9A1547700H04
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3241023.08156,0.00000,0.00000,0.00000,-0.37758,-0.37758
07/01/2020,3253306.97995,0.00000,0.00000,0.00000,2.05360,2.05360
06/30/2020,3187841.41038,0.00012,0.00000,0.00000,1.03688,1.03688
06/29/2020,3154858.19470,0.00033,268.26055,0.00000,1.31422,1.31422
06/26/2020,3113182.65333,0.00000,1016.22450,0.00000,-2.38713,-2.38713
06/25/2020,3189340.72851,0.00000,1016.22450,0.00000,0.98779,0.98779
06/24/2020,3158134.94624,0.00000,1016.22450,0.00000,-1.99530,-1.99530
06/23/2020,3222452.78702,0.00000,1016.22450,0.00000,0.24386,0.24386
06/22/2020,3214611.02975,0.00000,1016.22450,0.00000,1.55726,1.55726
06/19/2020,3165303.10672,0.00000,1016.22450,0.00000,-0.48638,-0.48638
06/18/2020,3180778.74540,0.00000,1016.22450,0.00000,0.10520,0.10520
06/17/2020,3177435.11418,0.00000,1016.22450,0.00000,0.31560,0.31560
06/16/2020,3167435.51163,0.00000,1016.22450,0.00000,1.82167,1.82167
06/15/2020,3110749.33752,0.00037,1016.22450,0.00000,0.89995,0.89995
06/12/2020,3082808.09280,0.00000,1202.90172,0.00000,0.37633,0.37633
06/11/2020,3071245.45276,0.00000,1202.90172,0.00000,-3.70866,-3.70866
06/10/2020,3190328.57967,0.00013,454.93777,0.00000,-0.53583,-0.53583
06/09/2020,3207382.05331,0.00000,590.63482,0.00000,0.34971,0.34971
06/08/2020,3196202.46511,0.00000,590.63482,0.00000,0.34936,0.34936
06/05/2020,3185072.99913,0.00000,590.63482,0.00000,2.02995,2.02995
06/04/2020,3121692.35967,0.00000,590.63482,0.00000,-0.64636,-0.64636
06/03/2020,3142459.64543,0.00000,135.69705,0.00000,0.70644,0.70644
06/02/2020,3120414.79934,-0.00019,135.69705,0.00000,0.62538,0.62538
06/01/2020,3100719.55637,0.00003,436.81752,0.00000,0.34627,0.34627
