Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_TECHX
Folio Number:  9A1547700H05
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,5161408.36354,0.00000,0.00000,0.00000,-1.27686,-1.27686
08/01/2019,5228164.94276,0.00000,0.00000,0.00000,0.55067,0.55067
07/31/2019,5199532.73495,0.00098,0.00000,0.00000,-0.18432,-0.18432
07/30/2019,5208558.85879,0.00000,575.13345,0.00000,-0.76037,-0.76037
07/29/2019,5248470.93980,0.00000,575.13345,0.00000,-0.78287,-0.78287
07/26/2019,5289888.15603,0.00000,575.13345,0.00000,0.79039,0.79039
07/25/2019,5248400.57223,0.00000,575.13345,0.00000,-0.41902,-0.41902
07/24/2019,5270487.30843,0.00000,575.13345,0.00000,1.44172,1.44172
07/23/2019,5195573.55336,0.00000,575.13345,0.00000,0.79133,0.79133
07/22/2019,5154777.45045,0.00000,575.13345,0.00000,0.45316,0.45316
07/19/2019,5131520.88052,0.00000,575.13345,0.00000,-0.72930,-0.72930
07/18/2019,5169224.17412,0.00122,575.13345,0.00000,-0.06626,-0.06626
07/17/2019,5172496.59174,0.00000,730.60025,0.00000,-0.08594,-0.08594
07/16/2019,5176946.13494,0.00000,730.60025,0.00000,-1.19347,-1.19347
07/15/2019,5239486.52061,0.00000,730.60025,0.00000,0.22593,0.22593
07/12/2019,5227674.08839,0.00000,730.60025,0.00000,0.95357,0.95357
07/11/2019,5178288.65214,0.00000,730.60025,0.00000,-0.80762,-0.80762
07/10/2019,5220455.99724,-0.00055,730.60025,0.00000,0.53780,0.53780
07/09/2019,5191903.82940,0.00000,1353.20914,0.00000,0.33245,0.33245
07/08/2019,5174851.73413,0.00000,1197.74234,0.00000,-0.13406,-0.13406
07/05/2019,5181799.97605,0.00000,1197.74234,0.00000,0.49555,0.49555
07/03/2019,5156242.44180,0.00006,1197.74234,0.00000,0.77586,0.77586
07/02/2019,5115738.62080,0.00000,1995.06367,0.00000,-0.08415,-0.08415
07/01/2019,5120048.91723,0.00011,1995.06367,0.00000,0.87306,0.87306
06/28/2019,5075066.03480,0.00012,2646.25744,0.00000,0.91525,0.91525
06/27/2019,5028431.99990,0.00000,3227.95082,0.00000,1.99763,1.99763
06/26/2019,4929886.68041,0.00000,3227.95082,0.00000,-0.43304,-0.43304
06/25/2019,4951341.85606,0.00000,3227.95082,0.00000,-1.93625,-1.93625
06/24/2019,5049168.99005,0.00000,3227.95082,0.00000,-2.16471,-2.16471
06/21/2019,5160958.42612,0.00000,3227.95082,0.00000,-0.72547,-0.72547
06/20/2019,5199271.70702,0.00000,2652.81737,0.00000,1.22577,1.22577
06/19/2019,5136280.14390,0.00000,2652.81737,0.00000,0.50748,0.50748
06/18/2019,5110332.87908,0.00000,2652.81737,0.00000,1.18790,1.18790
06/17/2019,5050308.91212,-0.00007,2652.81737,0.00000,1.62505,1.62505
06/14/2019,4969225.17880,-0.00020,2936.41906,0.00000,-0.24728,-0.24728
06/13/2019,4981810.19926,0.00000,2676.97354,0.00000,0.22782,0.22782
06/12/2019,4971427.55274,0.00000,1729.75989,0.00000,1.34392,1.34392
06/11/2019,4905478.60825,0.00000,1729.75989,0.00000,-0.50747,-0.50747
06/10/2019,4931416.62648,0.00000,821.47750,0.00000,0.74774,0.74774
06/07/2019,4894810.25396,0.00000,821.47750,0.00000,2.27313,2.27313
06/06/2019,4785999.63565,0.00000,821.47750,0.00000,0.86428,0.86428
06/05/2019,4744982.51687,0.00000,821.47750,0.00000,0.71797,0.71797
06/04/2019,4711151.73815,0.00002,821.47750,0.00000,3.16127,3.16127
06/03/2019,4566538.50492,0.00078,1041.15070,0.00000,-1.28945,-1.28945
05/31/2019,4625919.82602,-0.00031,1325.89826,0.00000,-0.72157,-0.72157
05/30/2019,4659404.30120,0.00000,1472.72705,0.00000,0.73298,0.73298
05/29/2019,4625840.92840,0.00000,1121.35651,0.00000,-1.85066,-1.85066
05/28/2019,4713084.73346,0.00000,1121.35651,0.00000,0.51925,0.51925
05/24/2019,4689202.73408,0.00000,651.24955,0.00000,-0.16673,-0.16673
05/23/2019,4697035.29425,0.00007,651.24955,0.00000,-2.13678,-2.13678
05/22/2019,4799464.54134,0.00030,792.88919,0.00000,-0.72073,-0.72073
05/21/2019,4833724.37488,0.00019,1381.17703,0.00000,0.91344,0.91344
05/20/2019,4789714.88914,0.00000,1624.80504,0.00000,-0.85343,-0.85343
05/17/2019,4830957.76707,0.00000,1624.80504,0.00000,-1.16574,-1.16574
05/16/2019,4887957.59119,-0.00072,1624.80504,0.00000,1.64540,1.64540
05/15/2019,4808495.90367,0.00013,1935.48243,0.00000,0.66915,0.66915
05/14/2019,4776320.03851,0.00000,2136.13848,0.00000,2.19388,2.19388
05/13/2019,4673737.16343,0.00000,2136.13848,0.00000,-3.58883,-3.58883
05/10/2019,4848598.81614,0.00000,1330.34306,0.00000,-1.62825,-1.62825
05/09/2019,4929332.28290,0.00000,872.83688,0.00000,0.03669,0.03669
05/08/2019,4927524.26379,-0.00090,872.83688,0.00000,-0.56230,-0.56230
05/07/2019,4955085.61606,0.00000,1180.75363,0.00000,-1.79913,-1.79913
05/06/2019,5046175.71686,0.00000,893.84045,0.00000,-0.77860,-0.77860
05/03/2019,5086024.01756,0.00000,650.21244,0.00000,1.64165,1.64165
05/02/2019,5003867.15864,0.00000,650.21244,0.00000,1.52836,1.52836
05/01/2019,4928531.50785,0.00000,650.21244,0.00000,-1.01583,-1.01583
