Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_TECHX
Folio Number:  9A1547700H05
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,8331223.69355,0.00000,0.00000,0.00000,1.07762,1.07762
07/01/2020,8242401.89167,-0.00025,0.00000,0.00000,2.20505,2.20505
06/30/2020,8063806.94054,0.00010,766.77010,0.00000,1.87154,1.87154
06/29/2020,7914792.28652,0.00000,1622.69974,0.00000,2.11041,2.11041
06/26/2020,7751176.39200,-0.00055,1622.69974,0.00000,-1.78014,-1.78014
06/25/2020,7891373.71853,0.00000,1937.22224,0.00000,2.07345,2.07345
06/24/2020,7731034.22871,0.00000,1937.22224,0.00000,-4.24254,-4.24254
06/23/2020,8073644.37299,0.00000,1937.22224,0.00000,0.01354,0.01354
06/22/2020,8072550.77336,0.00000,1937.22224,0.00000,1.04984,1.04984
06/19/2020,7988662.54936,0.00000,1937.22224,0.00000,0.84953,0.84953
06/18/2020,7921351.45753,0.00000,1937.22224,0.00000,1.97022,1.97022
06/17/2020,7768261.11907,0.00000,1937.22224,0.00000,0.99281,0.99281
06/16/2020,7691875.90245,0.00000,1937.22224,0.00000,1.24343,1.24343
06/15/2020,7598239.30552,-0.00003,1081.29260,0.00000,3.52393,3.52393
06/12/2020,7339250.73434,0.00021,1390.86255,0.00000,1.36727,1.36727
06/11/2020,7240169.63346,0.00000,1459.18526,0.00000,-5.86485,-5.86485
06/10/2020,7692422.14372,0.00000,377.89266,0.00000,1.73527,1.73527
06/09/2020,7561208.22219,0.00000,377.89266,0.00000,-0.05247,-0.05247
06/08/2020,7565177.95529,0.00000,377.89266,0.00000,0.39675,0.39675
06/05/2020,7535279.99591,0.00275,377.89266,0.00000,3.80532,3.80532
06/04/2020,7258860.47721,0.00000,553.65834,0.00000,-2.75043,-2.75043
06/03/2020,7464172.40584,0.00000,553.65834,0.00000,0.04217,0.04217
06/02/2020,7461026.21464,-0.00011,553.65834,0.00000,2.86493,2.86493
06/01/2020,7252980.46987,0.00141,783.89234,0.00000,0.65102,0.65102
