Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_MOMEN
Folio Number:  9A1547700H06
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,2970186.65555,0.00004,0.00000,0.00000,-0.72854,-0.72854
08/01/2019,2991722.71915,-0.00001,261.78960,0.00000,-1.54079,-1.54079
07/31/2019,3038190.51219,0.00000,615.48199,0.00000,-0.26491,-0.26491
07/30/2019,3046261.87775,0.00000,615.48199,0.00000,-0.02764,-0.02764
07/29/2019,3047104.23830,0.00000,615.48199,0.00000,-0.22503,-0.22503
07/26/2019,3053978.12477,0.00000,615.48199,0.00000,-0.07543,-0.07543
07/25/2019,3056283.87225,0.00000,615.48199,0.00000,0.12694,0.12694
07/24/2019,3052408.23060,0.00000,615.48199,0.00000,0.80145,0.80145
07/23/2019,3028396.07721,0.00000,353.69239,0.00000,1.38100,1.38100
07/22/2019,2987138.76347,0.00000,353.69239,0.00000,0.21817,0.21817
07/19/2019,2980635.01231,0.00000,353.69239,0.00000,-0.69077,-0.69077
07/18/2019,3001370.02694,0.00000,353.69239,0.00000,0.75351,0.75351
07/17/2019,2978920.96664,0.00000,353.69239,0.00000,-0.92473,-0.92473
07/16/2019,3006728.32862,0.00000,353.69239,0.00000,0.32286,0.32286
07/15/2019,2997050.79288,-0.00001,353.69239,0.00000,-0.07485,-0.07485
07/12/2019,2999272.76369,0.00000,376.99705,0.00000,1.05102,1.05102
07/11/2019,2968073.69295,0.00000,376.99705,0.00000,0.56070,0.56070
07/10/2019,2951522.42356,0.00000,376.99705,0.00000,0.24506,0.24506
07/09/2019,2944306.29266,0.00000,376.99705,0.00000,-0.38846,-0.38846
07/08/2019,2955789.95021,0.00000,376.99705,0.00000,0.08491,0.08491
07/05/2019,2953282.07383,0.00000,376.99705,0.00000,0.26557,0.26557
07/03/2019,2945458.73453,0.00000,376.99705,0.00000,-0.48535,-0.48535
07/02/2019,2959826.16418,0.00000,376.99705,0.00000,0.36046,0.36046
07/01/2019,2949194.07660,0.00037,376.99705,0.00000,0.66314,0.66314
06/28/2019,2929143.39975,0.00000,996.71971,0.00000,0.97260,0.97260
06/27/2019,2901273.16376,0.00000,643.02732,0.00000,1.03963,1.03963
06/26/2019,2871437.65495,0.00023,619.72266,0.00000,-0.32153,-0.32153
06/25/2019,2880068.66130,0.00000,1253.16520,0.00000,-0.57761,-0.57761
06/24/2019,2896808.23536,0.00000,1253.16520,0.00000,-0.51362,-0.51362
06/21/2019,2911770.20500,0.00000,1253.16520,0.00000,-0.23887,-0.23887
06/20/2019,2918745.10527,0.00000,1253.16520,0.00000,0.62820,0.62820
06/19/2019,2900516.17797,0.00000,1253.16520,0.00000,0.03638,0.03638
06/18/2019,2899460.76710,0.00000,1253.16520,0.00000,1.01312,1.01312
06/17/2019,2870367.71011,0.00000,1253.16520,0.00000,-0.67550,-0.67550
06/14/2019,2889897.52577,0.00000,1253.16520,0.00000,-0.54714,-0.54714
06/13/2019,2905803.16554,-0.00017,1253.16520,0.00000,1.15247,1.15247
06/12/2019,2872104.13753,0.00000,1831.04784,0.00000,0.20320,0.20320
06/11/2019,2866276.15133,0.00036,1831.04784,0.00000,-0.35127,-0.35127
06/10/2019,2875158.40864,-0.00038,3059.12166,0.00000,-0.09658,-0.09658
06/07/2019,2877622.73659,0.00000,3377.36192,0.00000,1.00751,1.00751
06/06/2019,2848885.90667,0.00000,3377.36192,0.00000,0.89639,0.89639
06/05/2019,2823545.52524,0.00000,3377.36192,0.00000,1.37555,1.37555
06/04/2019,2785187.33964,0.00000,3377.36192,0.00000,3.15713,3.15713
06/03/2019,2700476.53776,0.00035,2743.91938,0.00000,0.05150,0.05150
05/31/2019,2697614.10334,-0.00113,4214.92536,0.00000,-0.95347,-0.95347
05/30/2019,2723921.75688,0.00000,3916.43326,0.00000,0.21091,0.21091
05/29/2019,2718180.60612,0.00000,3916.43326,0.00000,-0.88191,-0.88191
05/28/2019,2742400.71464,0.00000,3916.43326,0.00000,-0.82956,-0.82956
05/24/2019,2765373.59668,0.00000,3916.43326,0.00000,0.41566,0.41566
05/23/2019,2755138.44536,0.00015,2688.35944,0.00000,-1.53279,-1.53279
05/22/2019,2795819.43220,0.00000,4937.16175,0.00000,-0.26102,-0.26102
05/21/2019,2803149.20094,0.00000,4937.16175,0.00000,1.52272,1.52272
05/20/2019,2761031.34330,0.00000,4937.16175,0.00000,-0.75104,-0.75104
05/17/2019,2781962.08866,0.00000,4937.16175,0.00000,-0.57572,-0.57572
05/16/2019,2798099.59421,0.00000,4937.16175,0.00000,1.14055,1.14055
05/15/2019,2768241.51298,0.00000,3185.77271,0.00000,-0.22338,-0.22338
05/14/2019,2774446.20604,0.00000,3185.77271,0.00000,1.07754,1.07754
05/13/2019,2745492.56456,0.00000,2528.45580,0.00000,-3.00163,-3.00163
05/10/2019,2830530.51800,0.00000,2528.45580,0.00000,0.00539,0.00539
05/09/2019,2830377.90715,0.00000,2528.45580,0.00000,-0.22340,-0.22340
05/08/2019,2837000.57305,0.00000,2248.80231,0.00000,-0.10782,-0.10782
05/07/2019,2840065.25714,0.00000,2248.80231,0.00000,-1.69187,-1.69187
05/06/2019,2888981.02418,0.00000,2248.80231,0.00000,-0.60530,-0.60530
05/03/2019,2906588.09674,-0.00023,2248.80231,0.00000,0.72306,0.72306
05/02/2019,2885446.91303,0.00000,2508.30194,0.00000,0.13908,0.13908
05/01/2019,2881435.95325,0.00000,2508.30194,0.00000,-0.56218,-0.56218
