Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_MOMEN
Folio Number:  9A1547700H06
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3261270.27930,0.00000,0.00000,0.00000,1.04686,1.04686
07/01/2020,3227483.15476,0.00022,0.00000,0.00000,0.21607,0.21607
06/30/2020,3219827.21505,0.00000,697.35652,0.00000,1.39559,1.39559
06/29/2020,3175500.57828,0.00000,697.35652,0.00000,2.25488,2.25488
06/26/2020,3105460.37940,0.00000,697.35652,0.00000,-2.91512,-2.91512
06/25/2020,3198727.50499,0.00000,697.35652,0.00000,0.54155,0.54155
06/24/2020,3181494.34826,0.00000,697.35652,0.00000,-2.80836,-2.80836
06/23/2020,3273444.06804,0.00000,697.35652,0.00000,0.39920,0.39920
06/22/2020,3260425.77704,0.00000,697.35652,0.00000,0.73394,0.73394
06/19/2020,3236665.57072,0.00000,697.35652,0.00000,-0.65123,-0.65123
06/18/2020,3257886.59826,0.00000,697.35652,0.00000,0.12592,0.12592
06/17/2020,3253788.52624,0.00000,697.35652,0.00000,-0.34979,-0.34979
06/16/2020,3265212.41136,0.00000,697.35652,0.00000,1.29089,1.29089
06/15/2020,3223590.53898,0.00000,697.35652,0.00000,2.47794,2.47794
06/12/2020,3145626.57711,0.00000,697.35652,0.00000,2.00817,2.00817
06/11/2020,3083084.92249,0.00000,1299.41776,0.00000,-7.02495,-7.02495
06/10/2020,3316132.78585,0.00059,1299.41776,0.00000,-0.96373,-0.96373
06/09/2020,3348078.77319,-0.00059,1635.78917,0.00000,-1.24158,-1.24158
06/08/2020,3388945.41802,0.00000,2881.36578,0.00000,1.11219,1.11219
06/05/2020,3351636.77302,-0.00242,2881.36578,0.00000,3.30583,3.30583
06/04/2020,3243214.40241,0.00000,3957.67550,0.00000,-0.41284,-0.41284
06/03/2020,3256675.60401,0.00000,3957.67550,0.00000,1.34630,1.34630
06/02/2020,3213360.71826,0.00000,3957.67550,0.00000,0.90113,0.90113
06/01/2020,3184627.39588,-0.00041,3957.67550,0.00000,0.90809,0.90809
