Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_DVDNX
Folio Number:  9A1547700H07
Download Date:  01/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/15/2019,3052116.61725,0.00000,0.00000,0.00000,0.35085,0.35085
01/14/2019,3041445.61632,0.00019,0.00000,0.00000,-0.45455,-0.45455
01/11/2019,3055333.73814,0.00014,0.00000,0.00000,0.32158,0.32158
01/10/2019,3045029.16177,-0.00005,510.87421,0.00000,0.09570,0.09570
01/09/2019,3041302.76257,0.00000,1325.62748,0.00000,-0.20961,-0.20961
01/08/2019,3047693.72298,0.00000,1325.62748,0.00000,1.02012,1.02012
01/07/2019,3016904.23835,0.00000,1325.62748,0.00000,0.93733,0.93733
01/04/2019,2988876.09312,-0.00023,1325.62748,0.00000,2.88644,2.88644
01/03/2019,2901115.99527,0.00000,5196.71453,0.00000,-1.61809,-1.61809
01/02/2019,2948916.13511,0.00004,5196.71453,0.00000,-0.09626,-0.09626
12/31/2018,2950853.48360,-0.00033,6105.60462,0.00000,0.54334,0.54334
12/28/2018,2934388.84835,-0.00001,6590.68466,0.00000,0.05313,0.05313
12/27/2018,2931415.80108,0.00000,8002.11434,0.00000,0.41336,0.41336
12/26/2018,2919315.58030,-0.00027,8002.11434,0.00000,3.75879,3.75879
12/24/2018,2812272.03362,0.00000,8999.98798,0.00000,-1.75678,-1.75678
12/21/2018,2863536.53796,0.00000,8185.23471,0.00000,-1.29042,-1.29042
12/20/2018,2901078.18927,-0.00032,8185.23471,0.00000,-1.76036,-1.76036
12/19/2018,2952708.13167,0.00000,8686.55278,0.00000,-1.45688,-1.45688
12/18/2018,2997000.94542,0.00026,8175.67857,0.00000,-0.13772,-0.13772
12/17/2018,3000520.55900,0.00080,8800.56076,0.00000,-1.48685,-1.48685
12/14/2018,3046640.48260,0.00017,8100.07427,0.00000,-1.33014,-1.33014
