Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_DVDNX
Folio Number:  9A1547700H07
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3470544.01753,0.00000,0.00000,0.00000,0.44785,0.44785
07/01/2020,3455070.35049,0.00000,0.00000,0.00000,-0.25443,-0.25443
06/30/2020,3463883.68160,0.00022,0.00000,0.00000,0.96836,0.96836
06/29/2020,3430106.75460,-0.00008,555.75404,0.00000,2.02090,2.02090
06/26/2020,3361216.23631,-0.00009,1489.37065,0.00000,-1.98319,-1.98319
06/25/2020,3429131.12514,0.00000,1612.65896,0.00000,0.41898,0.41898
06/24/2020,3414816.84150,0.00000,1612.65896,0.00000,-2.17962,-2.17962
06/23/2020,3490941.42332,0.00086,1612.65896,0.00000,0.17202,0.17202
06/22/2020,3483729.68766,-0.00017,2826.74818,0.00000,0.24295,0.24295
06/19/2020,3474789.68464,0.00000,3316.79553,0.00000,-0.69384,-0.69384
06/18/2020,3499090.92355,-0.00074,3316.79553,0.00000,-0.21268,-0.21268
06/17/2020,3506036.32369,0.00000,3836.04160,0.00000,-0.43160,-0.43160
06/16/2020,3521250.76304,0.00000,3836.04160,0.00000,1.80572,1.80572
06/15/2020,3458726.69439,-0.00037,3836.04160,0.00000,0.80835,0.80835
06/12/2020,3430165.19683,-0.00015,4632.19370,0.00000,1.14941,1.14941
06/11/2020,3390431.02470,0.00000,5335.14028,0.00000,-5.05619,-5.05619
06/10/2020,3571271.20994,0.00000,5335.14028,0.00000,-1.13846,-1.13846
06/09/2020,3612458.50149,0.00000,5335.14028,0.00000,-1.20930,-1.20930
06/08/2020,3657789.74896,0.00000,4289.33889,0.00000,1.46903,1.46903
06/05/2020,3604771.39419,-0.00009,4289.33889,0.00000,2.47369,2.47369
06/04/2020,3517566.08783,0.00000,4372.81976,0.00000,0.08819,0.08819
06/03/2020,3515676.85687,-0.00010,3158.73054,0.00000,1.50135,1.50135
06/02/2020,3464834.41511,0.00016,1952.72303,0.00000,0.76033,0.76033
06/01/2020,3438068.82590,0.00000,2558.21931,0.00000,0.42627,0.42627
