Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_DOMNX
Folio Number:  9A1547700H08
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,6316870.11044,0.00000,0.00000,0.00000,-0.14435,-0.14435
04/12/2019,6326001.78339,0.00000,0.00000,0.00000,-0.12351,-0.12351
04/11/2019,6333824.88655,0.00000,0.00000,0.00000,0.11166,0.11166
04/10/2019,6326760.47975,0.00037,0.00000,0.00000,0.75903,0.75903
04/09/2019,6279090.10275,0.00000,10.29852,0.00000,-0.22956,-0.22956
04/08/2019,6293537.65617,0.00000,10.29852,0.00000,-0.25538,-0.25538
04/05/2019,6309651.39594,0.00000,10.29852,0.00000,0.48727,0.48727
04/04/2019,6279055.60803,0.00000,10.29852,0.00000,-0.30478,-0.30478
04/03/2019,6298251.21319,0.00000,10.29852,0.00000,0.24479,0.24479
04/02/2019,6282871.34477,0.00000,10.29852,0.00000,0.48306,0.48306
04/01/2019,6252666.87188,0.00015,10.29852,0.00000,1.11835,1.11835
03/29/2019,6183008.73914,0.00000,514.77220,0.00000,1.00144,1.00144
03/28/2019,6121698.57559,0.00000,514.77220,0.00000,0.64711,0.64711
03/27/2019,6082335.73257,0.00000,514.77220,0.00000,-1.20876,-1.20876
03/26/2019,6156762.65071,0.00000,514.77220,0.00000,0.05927,0.05927
03/25/2019,6153115.64977,0.00000,514.77220,0.00000,0.35109,0.35109
03/22/2019,6131586.74409,0.00000,514.77220,0.00000,-3.03254,-3.03254
03/21/2019,6323360.93753,-0.00004,514.77220,0.00000,1.74980,1.74980
03/20/2019,6214374.91013,0.00000,748.79672,0.00000,1.76010,1.76010
03/19/2019,6106874.49735,0.00000,748.79672,0.00000,-0.18311,-0.18311
03/18/2019,6118312.74121,0.00000,514.77220,0.00000,0.35482,0.35482
03/15/2019,6096678.85395,0.00000,514.77220,0.00000,0.38379,0.38379
