Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_DOMNX
Folio Number:  9A1547700H08
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,7507664.95023,0.00000,0.00000,0.00000,0.26440,0.26440
07/01/2020,7487866.80965,0.00010,0.00000,0.00000,2.15833,2.15833
06/30/2020,7329099.11655,0.00012,569.13538,0.00000,1.66314,1.66314
06/29/2020,7209020.42256,0.00000,739.31410,0.00000,1.13467,1.13467
06/26/2020,7128131.44867,0.00000,739.31410,0.00000,-2.32486,-2.32486
06/25/2020,7297812.36685,0.00000,739.31410,0.00000,1.20982,1.20982
06/24/2020,7210568.74739,0.00000,739.31410,0.00000,-2.39529,-2.39529
06/23/2020,7387539.79699,0.00000,739.31410,0.00000,0.55266,0.55266
06/22/2020,7346931.82476,0.00000,739.31410,0.00000,1.73016,1.73016
06/19/2020,7222137.28784,0.00000,569.13538,0.00000,-0.14284,-0.14284
06/18/2020,7232469.13570,0.00027,569.13538,0.00000,0.42814,0.42814
06/17/2020,7201269.07711,0.00000,933.83390,0.00000,0.74538,0.74538
06/16/2020,7147982.54903,0.00000,933.83390,0.00000,1.55037,1.55037
06/15/2020,7038839.87765,0.00000,933.83390,0.00000,1.72232,1.72232
06/12/2020,6919645.30203,0.00000,933.83390,0.00000,0.86411,0.86411
06/11/2020,6860356.18426,0.00000,933.83390,0.00000,-4.80901,-4.80901
06/10/2020,7206985.48294,0.00000,933.83390,0.00000,0.04935,0.04935
06/09/2020,7203429.94699,0.00000,933.83390,0.00000,0.20022,0.20022
06/08/2020,7189034.12036,0.00000,933.83390,0.00000,0.62359,0.62359
06/05/2020,7144476.38911,0.00000,933.83390,0.00000,2.53469,2.53469
06/04/2020,6967839.72935,0.00000,933.83390,0.00000,-1.53979,-1.53979
06/03/2020,7076822.38714,0.00000,933.83390,0.00000,0.43575,0.43575
06/02/2020,7046303.46125,0.00000,745.24841,0.00000,0.98333,0.98333
06/01/2020,6977682.29872,0.00000,745.24841,0.00000,0.71147,0.71147
