Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_EARNX
Folio Number:  9A1547700H09
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,3593156.78573,0.00000,0.00000,0.00000,0.06356,0.06356
04/12/2019,3590874.54868,-0.00003,0.00000,0.00000,0.82180,0.82180
04/11/2019,3561304.98343,0.00000,300.25215,0.00000,0.15074,0.15074
04/10/2019,3555944.45487,0.00000,300.25215,0.00000,0.39846,0.39846
04/09/2019,3541830.38223,0.00000,300.25215,0.00000,-0.74383,-0.74383
04/08/2019,3568375.36890,0.00000,300.25215,0.00000,-0.03552,-0.03552
04/05/2019,3569943.57487,0.00000,0.00000,0.00000,0.60753,0.60753
04/04/2019,3548386.11782,0.00000,0.00000,0.00000,0.32380,0.32380
04/03/2019,3536933.55532,0.00015,0.00000,0.00000,0.36977,0.36977
04/02/2019,3523186.49142,0.00000,716.64557,0.00000,-0.43462,-0.43462
04/01/2019,3538569.09317,-0.00080,716.64557,0.00000,1.01725,1.01725
03/29/2019,3502277.93043,0.00102,1367.02520,0.00000,0.14422,0.14422
03/28/2019,3495854.17466,0.00000,2744.98422,0.00000,1.04482,1.04482
03/27/2019,3459678.12084,0.00000,2744.98422,0.00000,0.00517,0.00517
03/26/2019,3459498.99329,0.00000,2744.98422,0.00000,0.82568,0.82568
03/25/2019,3429627.23806,0.00000,4263.86173,0.00000,0.15015,0.15015
03/22/2019,3424478.87178,0.00000,4263.86173,0.00000,-1.48021,-1.48021
03/21/2019,3475993.95763,0.00000,4263.86173,0.00000,1.01864,1.01864
03/20/2019,3440899.96864,-0.00008,4263.86173,0.00000,-0.81881,-0.81881
03/19/2019,3468647.79781,-0.00023,4958.17784,0.00000,-0.08277,-0.08277
03/18/2019,3470708.70249,0.00000,5774.71869,0.00000,0.29715,0.29715
03/15/2019,3460408.97249,0.00125,5774.71869,0.00000,0.13643,0.13643
