Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_EARNX
Folio Number:  9A1547700H09
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3690050.36654,0.00000,0.00000,0.00000,0.61052,0.61052
07/01/2020,3667658.62272,0.00043,0.00000,0.00000,-0.02258,-0.02258
06/30/2020,3667717.56316,-0.00045,769.54436,0.00000,0.79363,0.79363
06/29/2020,3636419.80975,0.00000,3182.40129,0.00000,1.90254,1.90254
06/26/2020,3568467.76350,0.00000,3182.40129,0.00000,-1.44478,-1.44478
06/25/2020,3620826.55453,0.00000,3182.40129,0.00000,0.34620,0.34620
06/24/2020,3608323.56093,0.00000,3182.40129,0.00000,-1.92536,-1.92536
06/23/2020,3679222.94358,0.00000,3182.40129,0.00000,0.33359,0.33359
06/22/2020,3666979.53148,0.00000,3182.40129,0.00000,1.09170,1.09170
06/19/2020,3627344.99112,0.00000,3182.40129,0.00000,-0.76170,-0.76170
06/18/2020,3655210.86079,0.00011,3182.40129,0.00000,-0.29901,-0.29901
06/17/2020,3665784.00371,0.00000,3580.84956,0.00000,-0.29512,-0.29512
06/16/2020,3676645.06624,0.00000,3580.84956,0.00000,1.46369,1.46369
06/15/2020,3624329.46115,0.00084,2806.56136,0.00000,0.71152,0.71152
06/12/2020,3598672.68182,0.00000,2837.76471,0.00000,1.22193,1.22193
06/11/2020,3555657.85088,0.00050,2376.01223,0.00000,-4.56944,-4.56944
06/10/2020,3726271.91328,0.00006,2129.03296,0.00000,-1.30541,-1.30541
06/09/2020,3774991.25948,-0.00023,2724.39048,0.00000,-1.17111,-1.17111
06/08/2020,3818963.35962,0.00000,3517.93171,0.00000,1.10982,1.10982
06/05/2020,3777006.47703,0.00000,3517.93171,0.00000,2.28382,2.28382
06/04/2020,3692593.81628,0.00000,3517.93171,0.00000,0.13875,0.13875
06/03/2020,3687950.85559,0.00000,3039.71899,0.00000,2.06093,2.06093
06/02/2020,3613418.17097,0.00000,3039.71899,0.00000,1.04475,1.04475
06/01/2020,3576025.91628,0.00000,3039.71899,0.00000,0.38720,0.38720
