Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_FILTX
Folio Number:  9A1547700H0A
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,3518237.76224,0.00000,0.00000,0.00000,-6.09827,-6.09827
03/06/2020,3746723.00398,0.00000,0.00000,0.00000,-1.30343,-1.30343
03/05/2020,3796203.71012,0.00003,0.00000,0.00000,-2.20138,-2.20138
03/04/2020,3881592.80764,0.00000,60.92742,0.00000,3.11634,3.11634
03/03/2020,3764283.09637,0.00000,60.92742,0.00000,-1.71215,-1.71215
03/02/2020,3829856.89863,0.00000,60.92742,0.00000,2.96300,2.96300
02/28/2020,3719642.07400,-0.00009,60.92742,0.00000,-0.77713,-0.77713
02/27/2020,3748615.34144,0.00000,220.81185,0.00000,-3.31657,-3.31657
02/26/2020,3877213.16254,0.00000,220.81185,0.00000,0.74745,0.74745
02/25/2020,3848446.44628,0.00000,220.81185,0.00000,-2.44386,-2.44386
02/24/2020,3944858.62890,0.00000,220.81185,0.00000,-2.67025,-2.67025
02/21/2020,4053092.38531,0.00006,220.81185,0.00000,-1.43495,-1.43495
02/20/2020,4112057.75141,0.00000,265.12879,0.00000,-0.63953,-0.63953
02/19/2020,4138526.54059,0.00000,265.12879,0.00000,0.59644,0.59644
02/18/2020,4114048.38466,0.00000,204.20137,0.00000,0.30103,0.30103
02/14/2020,4101700.30040,-0.00067,204.20137,0.00000,0.01214,0.01214
02/13/2020,4100912.60098,0.00021,493.91380,0.00000,-0.14672,-0.14672
02/12/2020,4106243.19403,0.00000,1189.78871,0.00000,1.44070,1.44070
02/11/2020,4047907.96677,0.00000,1189.78871,0.00000,0.85761,0.85761
02/10/2020,4013477.60382,-0.00034,1189.78871,0.00000,0.81231,0.81231
02/07/2020,3980877.50387,0.00000,1441.19009,0.00000,-0.92739,-0.92739
02/06/2020,4019010.47642,0.00000,585.43075,0.00000,-0.22016,-0.22016
02/05/2020,4027924.05478,0.00000,541.11381,0.00000,0.37877,0.37877
02/04/2020,4012723.18991,0.00000,541.11381,0.00000,2.63964,2.63964
02/03/2020,3909511.80610,0.00000,541.11381,0.00000,1.20526,1.20526
01/31/2020,3862946.60524,-0.00009,541.11381,0.00000,-1.73362,-1.73362
01/30/2020,3930866.72177,0.00000,780.62764,0.00000,-0.23894,-0.23894
01/29/2020,3940573.25241,0.00000,490.91521,0.00000,-0.46510,-0.46510
01/28/2020,3958988.82269,0.00000,490.91521,0.00000,1.09800,1.09800
01/27/2020,3915985.71490,0.00000,490.91521,0.00000,-1.92658,-1.92658
01/24/2020,3992922.20568,0.00000,490.91521,0.00000,-0.51382,-0.51382
01/23/2020,4013547.08427,0.00000,490.91521,0.00000,1.16318,1.16318
01/22/2020,3967393.42206,0.00000,490.91521,0.00000,-0.28565,-0.28565
01/21/2020,3978760.00511,0.00060,490.91521,0.00000,-0.09910,-0.09910
01/17/2020,3982236.26759,0.00000,961.91360,0.00000,0.30155,0.30155
01/16/2020,3970260.87714,0.00019,961.91360,0.00000,0.88002,0.88002
01/15/2020,3935776.48178,0.00000,803.70390,0.00000,0.25238,0.25238
01/14/2020,3925866.34827,0.00000,803.70390,0.00000,-0.18818,-0.18818
01/13/2020,3933269.36279,0.00000,803.70390,0.00000,1.23890,1.23890
01/10/2020,3885126.61853,0.00000,803.70390,0.00000,-0.72875,-0.72875
01/09/2020,3913653.06151,0.00000,803.70390,0.00000,0.00125,0.00125
01/08/2020,3914075.22346,0.00000,332.70551,0.00000,0.76890,0.76890
01/07/2020,3884207.07582,-0.00058,332.70551,0.00000,-0.37966,-0.37966
01/06/2020,3898783.68516,0.00000,560.23544,0.00000,0.74019,0.74019
01/03/2020,3870133.16949,0.00000,560.23544,0.00000,-0.80548,-0.80548
01/02/2020,3901564.17078,0.00019,560.23544,0.00000,0.82808,0.82808
12/31/2019,3869380.06968,0.00000,697.01942,0.00000,0.18615,0.18615
12/30/2019,3862189.44753,0.00000,697.01942,0.00000,-0.47134,-0.47134
12/27/2019,3880815.54523,0.00017,364.31391,0.00000,-0.39505,-0.39505
12/26/2019,3896049.59800,0.00000,523.62193,0.00000,0.38333,0.38333
12/24/2019,3881169.83225,0.00000,523.62193,0.00000,0.14053,0.14053
12/23/2019,3875722.39903,0.00000,523.62193,0.00000,-0.25059,-0.25059
12/20/2019,3885460.42023,0.00011,523.62193,0.00000,0.89197,0.89197
12/19/2019,3851068.48477,0.00000,560.32363,0.00000,0.71007,0.71007
12/18/2019,3824139.61005,0.00000,332.79370,0.00000,0.19094,0.19094
12/17/2019,3816851.16773,0.00000,332.79370,0.00000,0.57801,0.57801
12/16/2019,3794914.29646,0.00000,332.79370,0.00000,1.10987,1.10987
12/13/2019,3753254.21449,0.00000,332.79370,0.00000,0.41665,0.41665
12/12/2019,3737679.94163,0.00000,332.79370,0.00000,0.08793,0.08793
12/11/2019,3734532.75086,0.00000,196.00972,0.00000,0.89781,0.89781
12/10/2019,3701300.27629,0.00000,196.00972,0.00000,-0.54172,-0.54172
12/09/2019,3721461.17292,0.00000,196.00972,0.00000,-0.56848,-0.56848
12/06/2019,3742898.34897,0.00000,36.70170,0.00000,1.01597,1.01597
