Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_FILTX
Folio Number:  9A1547700H0A
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,3520768.49098,-0.00010,0.00000,0.00000,0.41621,0.41621
02/14/2019,3505890.81012,0.00041,284.47679,0.00000,0.47366,0.47366
02/13/2019,3488562.59047,0.00000,1083.66667,0.00000,-0.44540,-0.44540
02/12/2019,3504175.04150,0.00000,1083.66667,0.00000,2.24448,2.24448
02/11/2019,3427227.17100,0.00000,1083.66667,0.00000,0.05578,0.05578
02/08/2019,3425316.02797,0.00000,1083.66667,0.00000,0.55934,0.55934
02/07/2019,3407056.76231,0.00000,284.47679,0.00000,-0.93310,-0.93310
02/06/2019,3439150.14266,0.00000,284.47679,0.00000,-0.00447,-0.00447
02/05/2019,3439303.89704,0.00000,284.47679,0.00000,0.81399,0.81399
02/04/2019,3411532.19124,0.00000,284.47679,0.00000,1.34743,1.34743
02/01/2019,3366171.69070,-0.00080,284.47679,0.00000,0.23364,0.23364
01/31/2019,3358077.81965,-0.00083,531.34643,0.00000,0.41383,0.41383
01/30/2019,3344292.27575,0.00000,475.21141,0.00000,1.49560,1.49560
01/29/2019,3295005.01139,0.00000,475.21141,0.00000,-0.61585,-0.61585
01/28/2019,3315425.94772,0.00000,475.21141,0.00000,-0.88868,-0.88868
01/25/2019,3345157.87186,0.00000,475.21141,0.00000,2.00969,2.00969
01/24/2019,3279245.62608,0.00000,475.21141,0.00000,0.52980,0.52980
01/23/2019,3261961.31137,0.00000,475.21141,0.00000,-0.25707,-0.25707
01/22/2019,3270369.76842,0.00000,475.21141,0.00000,-1.86928,-1.86928
01/18/2019,3332675.54993,-0.00068,475.21141,0.00000,0.10324,0.10324
01/17/2019,3328823.34719,0.00017,889.68786,0.00000,1.11408,1.11408
01/16/2019,3292060.94569,0.00000,965.17483,0.00000,-0.04062,-0.04062
01/15/2019,3293627.54593,0.00000,736.83306,0.00000,1.88970,1.88970
