Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_FILTX
Folio Number:  9A1547700H0A
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4541377.65138,0.00000,0.00000,0.00000,0.03212,0.03212
07/01/2020,4539919.36093,0.00037,0.00000,0.00000,1.42907,1.42907
06/30/2020,4475809.70867,0.00014,145.03388,0.00000,1.36456,1.36456
06/29/2020,4415394.39412,0.00000,305.66311,0.00000,0.95826,0.95826
06/26/2020,4373482.15198,-0.00001,305.66311,0.00000,-1.77655,-1.77655
06/25/2020,4452531.00179,0.00000,364.75304,0.00000,1.30853,1.30853
06/24/2020,4395016.13564,0.00000,364.75304,0.00000,-1.75178,-1.75178
06/23/2020,4473386.62787,0.00000,364.75304,0.00000,0.06107,0.06107
06/22/2020,4470656.10353,0.00000,364.75304,0.00000,1.51345,1.51345
06/19/2020,4403998.43925,0.00000,364.75304,0.00000,-0.11634,-0.11634
06/18/2020,4409128.57295,0.00000,364.75304,0.00000,-0.05619,-0.05619
06/17/2020,4411607.83104,0.00000,364.75304,0.00000,0.23828,0.23828
06/16/2020,4401120.00072,0.00000,364.75304,0.00000,1.61427,1.61427
06/15/2020,4331196.89210,0.00000,364.75304,0.00000,1.88152,1.88152
06/12/2020,4251202.77452,0.00000,364.75304,0.00000,0.00651,0.00651
06/11/2020,4251086.74601,0.00000,204.12381,0.00000,-3.90737,-3.90737
06/10/2020,4424099.99679,0.00000,59.08993,0.00000,-0.10772,-0.10772
06/09/2020,4428870.97727,-0.00001,59.08993,0.00000,0.63635,0.63635
06/08/2020,4400637.00988,0.00000,287.76612,0.00000,0.37990,0.37990
06/05/2020,4383981.00414,0.00000,287.76612,0.00000,1.56104,1.56104
06/04/2020,4316592.88921,0.00001,287.76612,0.00000,-1.28432,-1.28432
06/03/2020,4372695.19906,0.00000,349.37303,0.00000,0.53395,0.53395
06/02/2020,4349469.22562,0.00000,349.37303,0.00000,0.52334,0.52334
06/01/2020,4326823.32978,0.00000,349.37303,0.00000,0.84237,0.84237
