Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_HOUFX
Folio Number:  9A1547700H0B
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,1609845.23508,0.00000,0.00000,0.00000,-0.61832,-0.61832
02/27/2019,1619861.18188,0.00000,0.00000,0.00000,-0.11678,-0.11678
02/26/2019,1621755.07765,181.36135,0.00000,0.00000,-0.56168,-0.56168
02/25/2019,1630733.66159,-0.00008,0.00000,0.00000,-0.17240,-0.17240
02/22/2019,1633549.86614,0.00000,0.00000,0.00000,0.77923,0.77923
02/21/2019,1620890.01231,0.00000,29.21898,0.00000,-0.92504,-0.92504
02/20/2019,1636024.11651,0.00000,29.21898,0.00000,0.33791,0.33791
02/19/2019,1630514.37139,0.00000,29.21898,0.00000,-0.23559,-0.23559
02/15/2019,1634364.80040,0.00004,29.21898,0.00000,1.32979,1.32979
02/14/2019,1612111.05759,779.37650,834.16338,0.00000,0.22248,0.22248
02/13/2019,1607697.30788,0.00000,888.89284,0.00000,0.58894,0.58894
02/12/2019,1598279.11806,0.00000,888.89284,0.00000,0.73387,0.73387
02/11/2019,1586628.86501,0.00000,888.89284,0.00000,0.81348,0.81348
02/08/2019,1573818.93408,753.76770,888.89284,0.00000,-0.03524,-0.03524
02/07/2019,1573620.12576,0.00001,888.89284,0.00000,-1.24108,-1.24108
02/06/2019,1593381.89260,-15.66459,913.55919,0.00000,-0.12208,-0.12208
02/05/2019,1595346.29542,-382.47217,913.55919,0.00000,0.38940,0.38940
02/04/2019,1589536.28255,0.00000,913.55919,0.00000,0.81806,0.81806
02/01/2019,1576631.07451,-1135.00762,913.55919,0.00000,0.28301,0.28301
01/31/2019,1573345.10100,0.00037,880.87361,0.00000,-0.05813,-0.05813
01/30/2019,1574219.25189,-0.00028,922.29519,0.00000,0.68085,0.68085
01/29/2019,1564072.93921,0.00000,416.77135,0.00000,0.44628,0.44628
01/28/2019,1557121.92023,0.00000,416.77135,0.00000,-0.55624,-0.55624
