Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_HOUFX
Folio Number:  9A1547700H0B
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1327621.27455,0.00000,0.00000,0.00000,0.29027,0.29027
07/01/2020,1323778.70008,-0.00014,0.00000,0.00000,-0.98804,-0.98804
06/30/2020,1336843.09904,-0.00039,145.55557,0.00000,1.25385,1.25385
06/29/2020,1319712.41070,-0.00003,719.94481,0.00000,1.83056,1.83056
06/26/2020,1295943.68981,0.00000,751.85510,0.00000,-2.06808,-2.06808
06/25/2020,1323326.70573,0.00000,751.85510,0.00000,1.04266,1.04266
06/24/2020,1309663.47961,-0.00004,751.85510,0.00000,-3.02248,-3.02248
06/23/2020,1350487.80718,0.00000,768.94599,0.00000,0.19022,0.19022
06/22/2020,1347922.28877,0.00000,768.94599,0.00000,0.12794,0.12794
06/19/2020,1346198.95811,-0.00041,768.94599,0.00000,-0.57205,-0.57205
06/18/2020,1353777.03832,0.00004,940.46446,0.00000,-0.21889,-0.21889
06/17/2020,1356543.73004,-0.00001,1145.62792,0.00000,-1.38026,-1.38026
06/16/2020,1375462.43676,-0.00003,1228.80625,0.00000,1.60177,1.60177
06/15/2020,1353646.81047,-0.00011,1340.64007,0.00000,1.21453,1.21453
06/12/2020,1337256.26909,0.00000,1471.99206,0.00000,1.75436,1.75436
06/11/2020,1314626.45868,0.00005,1020.65094,0.00000,-6.16905,-6.16905
06/10/2020,1401263.76952,0.00010,882.49147,0.00000,-2.82871,-2.82871
06/09/2020,1441883.53948,0.00025,1079.90433,0.00000,-2.18336,-2.18336
06/08/2020,1473832.27472,-0.00003,1339.40444,0.00000,2.32539,2.32539
06/05/2020,1440264.69757,-0.00005,1383.10415,0.00000,3.52666,3.52666
06/04/2020,1391220.32062,0.00000,1317.47629,0.00000,0.78722,0.78722
06/03/2020,1380515.16403,0.00000,1145.95782,0.00000,2.21359,2.21359
06/02/2020,1350593.15956,0.00000,1145.95782,0.00000,1.32406,1.32406
06/01/2020,1332946.29014,0.00013,1128.86693,0.00000,0.85467,0.85467
