Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_TTENX
Folio Number:  9A1547700H0C
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,4714512.32394,0.00000,0.00000,0.00000,-1.82848,-1.82848
08/01/2019,4802321.90928,0.00000,0.00000,0.00000,-0.67298,-0.67298
07/31/2019,4834859.33791,0.00000,0.00000,0.00000,0.48644,0.48644
07/30/2019,4811454.65854,0.00000,0.00000,0.00000,-0.59328,-0.59328
07/29/2019,4840170.61463,0.00000,0.00000,0.00000,-1.53579,-1.53579
07/26/2019,4915664.98585,0.00000,0.00000,0.00000,1.22381,1.22381
07/25/2019,4856233.88964,0.00000,0.00000,0.00000,-0.97488,-0.97488
07/24/2019,4904042.48601,0.00000,0.00000,0.00000,1.40902,1.40902
07/23/2019,4835903.72221,0.00000,0.00000,0.00000,0.93593,0.93593
07/22/2019,4791062.88643,0.00000,0.00000,0.00000,0.24877,0.24877
07/19/2019,4779173.65240,0.00000,0.00000,0.00000,-0.93872,-0.93872
07/18/2019,4824461.90820,0.00000,0.00000,0.00000,0.28310,0.28310
07/17/2019,4810842.45140,0.00000,0.00000,0.00000,0.04201,0.04201
07/16/2019,4808822.34386,0.00000,0.00000,0.00000,-1.99432,-1.99432
07/15/2019,4906677.00060,0.00000,0.00000,0.00000,0.51067,0.51067
07/12/2019,4881747.41702,0.00000,0.00000,0.00000,0.76007,0.76007
07/11/2019,4844922.52308,0.00000,0.00000,0.00000,-0.70754,-0.70754
07/10/2019,4879446.70241,0.00000,0.00000,0.00000,1.05777,1.05777
07/09/2019,4828373.50343,0.00000,0.00000,0.00000,0.39702,0.39702
07/08/2019,4809279.83951,0.00000,0.00000,0.00000,0.20605,0.20605
07/05/2019,4799390.85113,0.00000,0.00000,0.00000,0.70167,0.70167
07/03/2019,4765949.80142,0.00000,0.00000,0.00000,-0.13886,-0.13886
07/02/2019,4772577.06885,0.00000,0.00000,0.00000,-0.23880,-0.23880
07/01/2019,4784001.17023,0.00000,0.00000,0.00000,0.01437,0.01437
06/28/2019,4783313.62957,0.00003,0.00000,0.00000,0.40822,0.40822
06/27/2019,4763346.20411,0.00000,520.46149,0.00000,2.58341,2.58341
06/26/2019,4643375.31983,0.00000,520.46149,0.00000,-1.02963,-1.02963
06/25/2019,4691687.77866,0.00000,520.46149,0.00000,-1.68864,-1.68864
06/24/2019,4772283.27664,0.00000,520.46149,0.00000,-3.05048,-3.05048
06/21/2019,4922457.49740,0.00000,520.46149,0.00000,-0.76382,-0.76382
06/20/2019,4960349.37689,0.00000,520.46149,0.00000,2.16678,2.16678
06/19/2019,4855138.16738,0.00000,520.46149,0.00000,0.25115,0.25115
06/18/2019,4842973.57794,0.00000,520.46149,0.00000,1.25549,1.25549
06/17/2019,4782917.86833,0.00000,520.46149,0.00000,0.77970,0.77970
06/14/2019,4745909.75271,0.00000,520.46149,0.00000,-1.01468,-1.01468
06/13/2019,4794564.61322,0.00000,520.46149,0.00000,0.39386,0.39386
06/12/2019,4776273.03040,0.00000,0.00000,0.00000,0.92809,0.92809
06/11/2019,4732352.73337,0.00000,0.00000,0.00000,-0.50343,-0.50343
06/10/2019,4756297.30231,0.00000,0.00000,0.00000,0.63989,0.63989
06/07/2019,4726055.86256,0.00000,0.00000,0.00000,2.59074,2.59074
06/06/2019,4606708.24451,0.00000,0.00000,0.00000,0.82108,0.82108
06/05/2019,4569191.62565,0.00000,0.00000,0.00000,0.71786,0.71786
06/04/2019,4536624.79629,0.00000,0.00000,0.00000,2.72721,2.72721
06/03/2019,4416185.97776,0.00000,0.00000,0.00000,-1.32341,-1.32341
05/31/2019,4475413.96745,0.00000,0.00000,0.00000,0.28156,0.28156
05/30/2019,4462848.20584,0.00000,0.00000,0.00000,0.75550,0.75550
05/29/2019,4429384.17846,0.00000,0.00000,0.00000,-2.21733,-2.21733
05/28/2019,4529825.45293,0.00012,0.00000,0.00000,-0.13181,-0.13181
05/24/2019,4535601.53991,0.00000,202.73238,0.00000,-0.18885,-0.18885
05/23/2019,4544183.45086,0.00000,202.73238,0.00000,-1.64582,-1.64582
05/22/2019,4620227.44997,0.00024,202.73238,0.00000,-0.80412,-0.80412
05/21/2019,4657465.39660,0.00000,419.61496,0.00000,0.36785,0.36785
05/20/2019,4640394.39263,0.00000,419.61496,0.00000,-0.71356,-0.71356
05/17/2019,4673747.51912,0.00000,419.61496,0.00000,-1.11227,-1.11227
05/16/2019,4726321.76841,0.00000,419.61496,0.00000,1.96845,1.96845
05/15/2019,4635074.59459,0.00000,419.61496,0.00000,0.57772,0.57772
05/14/2019,4608448.20535,0.00000,419.61496,0.00000,2.54671,2.54671
05/13/2019,4493988.67389,0.00000,419.61496,0.00000,-3.92459,-3.92459
05/10/2019,4678000.78822,0.00000,0.00000,0.00000,-1.83209,-1.83209
05/09/2019,4765305.57974,0.00000,0.00000,0.00000,0.79357,0.79357
05/08/2019,4727787.08259,0.00000,0.00000,0.00000,-0.52236,-0.52236
05/07/2019,4752613.04381,-0.00031,0.00000,0.00000,-1.25261,-1.25261
05/06/2019,4811879.51841,0.00000,1020.56673,0.00000,0.64222,0.64222
05/03/2019,4781167.31159,0.00000,1020.56673,0.00000,1.99610,1.99610
05/02/2019,4687578.18967,0.00000,1020.56673,0.00000,0.18039,0.18039
05/01/2019,4679135.46198,0.00000,1020.56673,0.00000,-0.83840,-0.83840
