Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_TTENX
Folio Number:  9A1547700H0C
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,6545690.14339,0.00000,0.00000,0.00000,1.03846,1.03846
07/01/2020,6478414.43878,0.00000,0.00000,0.00000,2.58547,2.58547
06/30/2020,6315138.39831,-0.00074,0.00000,0.00000,0.56454,0.56454
06/29/2020,6279056.87532,0.00000,630.48705,0.00000,1.21037,1.21037
06/26/2020,6203958.26578,0.00000,630.48705,0.00000,-0.83721,-0.83721
06/25/2020,6256342.57409,0.00000,630.48705,0.00000,2.53662,2.53662
06/24/2020,6101553.22880,0.00000,630.48705,0.00000,-4.38401,-4.38401
06/23/2020,6381339.35166,0.00000,630.48705,0.00000,-0.00237,-0.00237
06/22/2020,6381490.68722,0.00000,630.48705,0.00000,0.60389,0.60389
06/19/2020,6343181.25525,0.00000,630.48705,0.00000,1.12094,1.12094
06/18/2020,6272859.00622,0.00000,630.48705,0.00000,1.04186,1.04186
06/17/2020,6208172.09043,0.00000,630.48705,0.00000,1.22489,1.22489
06/16/2020,6133041.38310,0.00000,630.48705,0.00000,1.19110,1.19110
06/15/2020,6060843.42235,0.00000,630.48705,0.00000,2.90997,2.90997
06/12/2020,5889444.17472,0.00000,630.48705,0.00000,1.92986,1.92986
06/11/2020,5778556.48433,0.00000,0.00000,0.00000,-5.21021,-5.21021
06/10/2020,6096180.23308,0.00000,0.00000,0.00000,1.38987,1.38987
06/09/2020,6012612.91045,0.00000,0.00000,0.00000,-0.64432,-0.64432
06/08/2020,6051604.46492,0.00000,0.00000,0.00000,0.59131,0.59131
06/05/2020,6016031.34046,0.00000,0.00000,0.00000,4.05695,4.05695
06/04/2020,5781479.81250,0.00000,0.00000,0.00000,-3.15180,-3.15180
06/03/2020,5969630.47091,0.00000,0.00000,0.00000,-0.55186,-0.55186
06/02/2020,6002757.50031,0.00000,0.00000,0.00000,3.25960,3.25960
06/01/2020,5813268.04191,0.00000,0.00000,0.00000,1.09875,1.09875
