Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_MDG
Folio Number:  9A1547700H0D
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1060737.07720,0.00000,0.00000,0.00000,0.08394,0.08394
06/07/2019,1059847.46670,0.00000,0.00000,0.00000,0.80307,0.80307
06/06/2019,1051403.95156,0.00000,0.00000,0.00000,0.29901,0.29901
06/05/2019,1048269.48504,0.00000,0.00000,0.00000,0.43386,0.43386
06/04/2019,1043741.08334,0.00000,0.00000,0.00000,1.29253,1.29253
06/03/2019,1030422.58246,0.00000,0.00000,0.00000,-0.62058,-0.62058
05/31/2019,1036857.12252,0.00000,0.00000,0.00000,-0.22530,-0.22530
05/30/2019,1039198.45748,0.00000,0.00000,0.00000,-0.07566,-0.07566
05/29/2019,1039985.30449,0.00000,0.00000,0.00000,-0.78454,-0.78454
05/28/2019,1048208.95572,-0.00007,0.00000,0.00000,-0.32876,-0.32876
05/24/2019,1051605.58647,-0.00047,60.84753,0.00000,0.09489,0.09489
05/23/2019,1050506.24575,0.00000,163.23762,0.00000,-0.63469,-0.63469
05/22/2019,1057217.32996,0.00025,163.23762,0.00000,-0.05664,-0.05664
05/21/2019,1057723.33438,0.00000,256.48971,0.00000,0.52360,0.52360
05/20/2019,1052212.64580,0.00000,256.48971,0.00000,-0.25967,-0.25967
05/17/2019,1054952.69110,0.00000,256.48971,0.00000,-0.50043,-0.50043
05/16/2019,1060259.82424,0.00054,256.48971,0.00000,0.25686,0.25686
05/15/2019,1057414.57595,-0.00022,384.72474,0.00000,0.34868,0.34868
05/14/2019,1053620.90387,0.00000,502.91780,0.00000,0.37861,0.37861
05/13/2019,1049644.94990,0.00000,502.91780,0.00000,-1.29439,-1.29439
05/10/2019,1063570.32742,0.00000,348.81818,0.00000,0.13445,0.13445
05/09/2019,1062270.04093,0.00076,220.58315,0.00000,-0.05884,-0.05884
05/08/2019,1062940.55896,0.00000,175.55314,0.00000,-0.06051,-0.06051
05/07/2019,1063584.27465,0.00000,175.55314,0.00000,-0.67209,-0.67209
05/06/2019,1070782.09694,0.00000,175.55314,0.00000,-0.08146,-0.08146
05/03/2019,1071655.25244,0.00000,175.55314,0.00000,0.70952,0.70952
05/02/2019,1064104.00101,0.00000,175.55314,0.00000,-0.00779,-0.00779
05/01/2019,1064186.93276,0.00000,175.55314,0.00000,0.08698,0.08698
04/30/2019,1063261.97255,0.00000,175.55314,0.00000,0.01124,0.01124
04/29/2019,1063142.41106,0.00000,175.55314,0.00000,-0.20147,-0.20147
04/26/2019,1065407.16298,0.00000,57.36008,0.00000,0.43353,0.43353
04/25/2019,1060807.97058,0.00000,57.36008,0.00000,-0.33363,-0.33363
04/24/2019,1064359.13948,0.00000,57.36008,0.00000,0.37265,0.37265
04/23/2019,1060407.32461,0.00000,57.36008,0.00000,0.59352,0.59352
04/22/2019,1054150.33901,0.00000,57.36008,0.00000,-0.30472,-0.30472
04/18/2019,1057372.54511,0.00000,57.36008,0.00000,0.32952,0.32952
04/17/2019,1053899.55912,0.00000,57.36008,0.00000,-0.03175,-0.03175
04/16/2019,1054234.26847,0.00011,57.36008,0.00000,-0.17299,-0.17299
04/15/2019,1055768.28427,-0.00004,350.27956,0.00000,-0.01031,-0.01031
04/12/2019,1055827.36959,0.00000,400.10321,0.00000,0.25144,0.25144
04/11/2019,1053178.27093,0.00000,400.10321,0.00000,-0.04723,-0.04723
04/10/2019,1053676.15480,0.00000,400.10321,0.00000,0.28341,0.28341
04/09/2019,1050697.22356,0.00000,400.10321,0.00000,-0.26294,-0.26294
04/08/2019,1053468.25599,0.00000,400.10321,0.00000,0.03696,0.03696
04/05/2019,1053136.24386,0.00000,342.74313,0.00000,0.43081,0.43081
04/04/2019,1048617.24901,0.00000,342.74313,0.00000,0.04692,0.04692
04/03/2019,1048125.32133,0.00024,342.74313,0.00000,0.16973,0.16973
04/02/2019,1046106.58290,0.00000,584.88377,0.00000,-0.18620,-0.18620
04/01/2019,1048059.13809,-0.00078,584.88377,0.00000,0.56335,0.56335
03/29/2019,1041984.74523,0.00045,784.84490,0.00000,-0.00984,-0.00984
03/28/2019,1041725.04444,0.00000,1147.17216,0.00000,0.78401,0.78401
03/27/2019,1033612.43556,0.00000,1147.17216,0.00000,-0.14347,-0.14347
03/26/2019,1035099.14983,0.00000,1147.17216,0.00000,0.35522,0.35522
03/25/2019,1031431.22487,0.00000,1147.17216,0.00000,-0.02769,-0.02769
03/22/2019,1031717.23110,0.00000,1147.17216,0.00000,-0.97431,-0.97431
03/21/2019,1041879.51723,0.00000,1147.17216,0.00000,0.70137,0.70137
03/20/2019,1034615.00330,0.00000,1147.17216,0.00000,-0.40898,-0.40898
03/19/2019,1038868.43529,0.00000,1147.17216,0.00000,-0.05430,-0.05430
03/18/2019,1039433.43056,0.00000,1147.17216,0.00000,-0.09479,-0.09479
03/15/2019,1040420.77227,0.00082,1147.17216,0.00000,0.09876,0.09876
03/14/2019,1039172.53881,0.00037,1367.76779,0.00000,0.07258,0.07258
03/13/2019,1038788.52047,0.00027,997.07181,0.00000,0.32350,0.32350
03/12/2019,1035266.67004,0.00000,1166.08362,0.00000,0.09588,0.09588
03/11/2019,1034273.94012,0.00000,1166.08362,0.00000,0.56429,0.56429
03/08/2019,1028463.81250,0.00000,1166.08362,0.00000,0.34040,0.34040
