Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_MDG
Folio Number:  9A1547700H0D
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1151814.74600,0.00000,0.00000,0.00000,0.61585,0.61585
07/01/2020,1144764.71727,0.00013,0.00000,0.00000,0.13272,0.13272
06/30/2020,1143010.78554,0.00102,236.59867,0.00000,0.64577,0.64577
06/29/2020,1134933.60833,0.00000,978.36738,0.00000,1.21813,1.21813
06/26/2020,1121263.28905,0.00000,978.36738,0.00000,-1.09594,-1.09594
06/25/2020,1133698.68707,0.00000,978.36738,0.00000,0.47716,0.47716
06/24/2020,1128310.16658,0.00000,978.36738,0.00000,-1.37897,-1.37897
06/23/2020,1144100.48617,0.00000,978.36738,0.00000,0.30643,0.30643
06/22/2020,1140602.28632,0.00000,978.36738,0.00000,0.78654,0.78654
06/19/2020,1131693.41843,0.00000,978.36738,0.00000,-0.41885,-0.41885
06/18/2020,1136457.57878,-0.00044,978.36738,0.00000,0.05348,0.05348
06/17/2020,1135717.91875,0.00000,1110.03147,0.00000,-0.00559,-0.00559
06/16/2020,1135781.45859,0.00000,1110.03147,0.00000,1.15441,1.15441
06/15/2020,1123068.41990,-0.00016,848.41451,0.00000,0.32028,0.32028
06/12/2020,1119611.45825,0.00000,717.20184,0.00000,0.61854,0.61854
06/11/2020,1112827.83698,-0.00063,613.72259,0.00000,-3.22222,-3.22222
06/10/2020,1149964.60450,-0.00001,549.09274,0.00000,-0.02528,-0.02528
06/09/2020,1150075.63423,0.00000,729.02581,0.00000,-0.46122,-0.46122
06/08/2020,1155407.98358,0.00000,729.02581,0.00000,0.62582,0.62582
06/05/2020,1148217.61391,0.00000,729.02581,0.00000,1.43742,1.43742
06/04/2020,1131936.41531,0.00000,729.02581,0.00000,-0.15158,-0.15158
06/03/2020,1133655.96566,0.00000,729.02581,0.00000,1.04422,1.04422
06/02/2020,1121932.89872,0.00000,729.02581,0.00000,0.70851,0.70851
06/01/2020,1114034.65869,0.00000,729.02581,0.00000,0.20405,0.20405
