Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_UPDN
Folio Number:  9A1547700H0E
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,3407470.80680,0.00000,0.00000,0.00000,-1.32613,-1.32613
08/01/2019,3453265.75603,0.00000,0.00000,0.00000,-0.62795,-0.62795
07/31/2019,3475087.54605,0.00000,0.00000,0.00000,-1.31511,-1.31511
07/30/2019,3521397.76510,0.00000,0.00000,0.00000,-0.43761,-0.43761
07/29/2019,3536875.36903,0.00000,0.00000,0.00000,-0.16827,-0.16827
07/26/2019,3542836.95910,-0.00001,0.00000,0.00000,1.27820,1.27820
07/25/2019,3497670.56121,0.00000,453.33612,0.00000,-0.26402,-0.26402
07/24/2019,3506930.92119,0.00000,453.33612,0.00000,1.04830,1.04830
07/23/2019,3470544.42611,0.00000,453.33612,0.00000,-0.04245,-0.04245
07/22/2019,3472018.43345,0.00000,453.33612,0.00000,0.31523,0.31523
07/19/2019,3461106.55876,0.00000,453.33612,0.00000,-1.26720,-1.26720
07/18/2019,3505534.61099,0.00000,453.33612,0.00000,-1.34563,-1.34563
07/17/2019,3553355.72798,0.00000,453.33612,0.00000,-0.25816,-0.25816
07/16/2019,3562553.98621,0.00000,453.33612,0.00000,-0.50131,-0.50131
07/15/2019,3580505.58371,0.00000,453.33612,0.00000,-0.39606,-0.39606
07/12/2019,3594744.62235,0.00000,453.33612,0.00000,-0.51323,-0.51323
07/11/2019,3613291.42842,0.00000,453.33612,0.00000,0.05115,0.05115
07/10/2019,3611443.84922,0.00178,453.33612,0.00000,0.32702,0.32702
07/09/2019,3599670.63521,0.00000,453.33612,0.00000,0.00566,0.00566
07/08/2019,3599466.98766,0.00000,453.33612,0.00000,-0.49221,-0.49221
07/05/2019,3617273.88206,0.00000,453.33612,0.00000,-0.06024,-0.06024
07/03/2019,3619454.54000,0.00000,453.33612,0.00000,0.91928,0.91928
07/02/2019,3586480.66543,0.00000,453.33612,0.00000,-0.01851,-0.01851
07/01/2019,3587144.86226,0.00000,453.33612,0.00000,0.86312,0.86312
06/28/2019,3556444.39497,-0.00009,453.33612,0.00000,0.68468,0.68468
06/27/2019,3531977.11603,0.00000,732.87341,0.00000,1.22192,1.22192
06/26/2019,3489331.19516,0.00000,732.87341,0.00000,0.07409,0.07409
06/25/2019,3486747.38285,0.00000,732.87341,0.00000,-1.32845,-1.32845
06/24/2019,3533700.51015,0.00000,732.87341,0.00000,-0.08482,-0.08482
06/21/2019,3536701.10308,0.00000,732.87341,0.00000,-0.24698,-0.24698
06/20/2019,3545459.40979,-0.00181,732.87341,0.00000,0.69967,0.69967
06/19/2019,3520526.45461,0.00000,1026.48874,0.00000,0.73303,0.73303
06/18/2019,3494900.10553,-0.00014,1026.48874,0.00000,1.32256,1.32256
06/17/2019,3449186.05135,0.00046,1108.38452,0.00000,1.09720,1.09720
06/14/2019,3411851.77770,0.00000,996.94386,0.00000,-0.95349,-0.95349
06/13/2019,3444706.16634,0.00000,996.94386,0.00000,0.37355,0.37355
06/12/2019,3432159.36283,0.00000,720.11609,0.00000,-0.57457,-0.57457
06/11/2019,3451997.55131,0.00000,720.11609,0.00000,-0.32381,-0.32381
06/10/2019,3463214.10984,0.00000,720.11609,0.00000,0.10142,0.10142
06/07/2019,3459704.39307,-0.00006,720.11609,0.00000,1.42481,1.42481
06/06/2019,3410910.01999,0.00000,902.57893,0.00000,0.15463,0.15463
06/05/2019,3405642.47548,0.00000,902.57893,0.00000,1.10145,1.10145
06/04/2019,3368826.05266,0.00000,606.25408,0.00000,2.93918,2.93918
06/03/2019,3272619.92768,0.00000,606.25408,0.00000,-0.76594,-0.76594
05/31/2019,3297884.42799,0.00000,606.25408,0.00000,-1.73017,-1.73017
05/30/2019,3355958.55284,0.00000,606.25408,0.00000,0.68801,0.68801
05/29/2019,3333446.55626,0.00000,182.46284,0.00000,-0.59900,-0.59900
05/28/2019,3353535.41781,0.00000,182.46284,0.00000,-0.47149,-0.47149
05/24/2019,3369422.76726,0.00000,182.46284,0.00000,0.35581,0.35581
05/23/2019,3357475.78747,0.00000,182.46284,0.00000,-1.54761,-1.54761
05/22/2019,3410255.91430,-0.00032,182.46284,0.00000,-0.04250,-0.04250
05/21/2019,3411130.50251,0.00000,757.84114,0.00000,1.08395,1.08395
05/20/2019,3374543.91632,0.00000,757.84114,0.00000,-0.66579,-0.66579
05/17/2019,3397167.11171,-0.00059,757.84114,0.00000,-0.72368,-0.72368
05/16/2019,3421358.26233,0.00039,1335.89188,0.00000,0.88363,0.88363
05/15/2019,3390758.62309,0.00000,1956.50840,0.00000,0.95726,0.95726
05/14/2019,3358589.31729,0.00000,1956.50840,0.00000,1.00802,1.00802
05/13/2019,3325052.28802,0.00000,1956.50840,0.00000,-2.95938,-2.95938
05/10/2019,3426513.82235,0.00000,1956.50840,0.00000,-0.08563,-0.08563
05/09/2019,3430072.62193,0.00000,1335.89188,0.00000,-0.24103,-0.24103
05/08/2019,3438545.86688,0.00000,1153.42904,0.00000,-0.19383,-0.19383
05/07/2019,3445226.05813,-0.00016,1153.42904,0.00000,-2.10146,-2.10146
05/06/2019,3518464.02371,0.00000,1894.42861,0.00000,-0.54715,-0.54715
05/03/2019,3537831.63784,0.00000,1894.42861,0.00000,1.18907,1.18907
05/02/2019,3496814.34044,0.00000,1316.37787,0.00000,0.23992,0.23992
05/01/2019,3488441.84587,0.00000,1316.37787,0.00000,-0.19442,-0.19442
