Client Name:  Marketocracy Capital Management, LLC
Folio Name:  pablo4414_UPDN
Folio Number:  9A1547700H0E
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4110333.58885,0.00000,0.00000,0.00000,0.22925,0.22925
07/01/2020,4100932.04252,0.00000,0.00000,0.00000,1.94928,1.94928
06/30/2020,4022521.89444,-0.00026,0.00000,0.00000,1.68058,1.68058
06/29/2020,3955679.07449,0.00000,358.40793,0.00000,1.05944,1.05944
06/26/2020,3914206.41905,0.00000,358.40793,0.00000,-2.41983,-2.41983
06/25/2020,4011281.25017,0.00000,358.40793,0.00000,0.89844,0.89844
06/24/2020,3975559.91838,0.00000,358.40793,0.00000,-2.70659,-2.70659
06/23/2020,4086165.45592,0.00141,358.40793,0.00000,0.52460,0.52460
06/22/2020,4064502.73077,0.00000,695.00081,0.00000,0.75986,0.75986
06/19/2020,4033845.94003,0.00000,695.00081,0.00000,0.59382,0.59382
06/18/2020,4010029.43707,0.00000,695.00081,0.00000,0.66910,0.66910
06/17/2020,3983372.02449,0.00000,695.00081,0.00000,0.58848,0.58848
06/16/2020,3960063.59354,-0.00014,695.00081,0.00000,1.84712,1.84712
06/15/2020,3888141.14308,0.00049,784.24559,0.00000,1.61889,1.61889
06/12/2020,3825831.83795,0.00000,1139.22461,0.00000,0.41038,0.41038
06/11/2020,3810191.01707,0.00000,1139.22461,0.00000,-4.18625,-4.18625
06/10/2020,3977072.34322,0.00000,780.81668,0.00000,-0.03974,-0.03974
06/09/2020,3978653.82836,0.00000,780.81668,0.00000,-0.07206,-0.07206
06/08/2020,3981523.46127,0.00000,780.81668,0.00000,0.65937,0.65937
06/05/2020,3955437.33052,-0.00017,780.81668,0.00000,2.54874,2.54874
06/04/2020,3856909.49768,0.00000,980.96013,0.00000,-1.43137,-1.43137
06/03/2020,3913268.67088,0.00000,644.36725,0.00000,-0.17484,-0.17484
06/02/2020,3920123.90712,0.00000,644.36725,0.00000,0.53193,0.53193
06/01/2020,3899378.36180,0.00000,644.36725,0.00000,0.26259,0.26259
