Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: hagopian_HIBEV
Folio Number:  9A1548300901
Download Date:  02/18/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/14/2020,4177245.86149,0.00000,0.00000,0.00000,0.40149,0.40149
02/13/2020,4160541.65774,0.00000,0.00000,0.00000,-0.47808,-0.47808
02/12/2020,4180527.85999,0.00000,0.00000,0.00000,1.47641,1.47641
02/11/2020,4119704.09240,0.00000,0.00000,0.00000,0.47597,0.47597
02/10/2020,4100188.49854,0.00000,0.00000,0.00000,0.79795,0.79795
02/07/2020,4067730.06255,0.00000,0.00000,0.00000,-1.45943,-1.45943
02/06/2020,4127974.76970,0.00000,0.00000,0.00000,-0.74267,-0.74267
02/05/2020,4158861.52269,0.00000,0.00000,0.00000,1.13924,1.13924
02/04/2020,4112015.99259,0.00000,0.00000,0.00000,1.30908,1.30908
02/03/2020,4058881.86953,0.00000,0.00000,0.00000,1.57080,1.57080
01/31/2020,3996111.10994,0.00000,0.00000,0.00000,-0.90883,-0.90883
01/30/2020,4032762.09945,0.00000,0.00000,0.00000,-1.65237,-1.65237
01/29/2020,4100517.98066,0.00000,0.00000,0.00000,-0.79038,-0.79038
01/28/2020,4133185.65221,0.00000,0.00000,0.00000,0.59835,0.59835
01/27/2020,4108601.78076,0.00000,0.00000,0.00000,-0.62594,-0.62594
01/24/2020,4134481.09091,0.00000,0.00000,0.00000,-1.24934,-1.24934
01/23/2020,4186788.34408,0.00000,0.00000,0.00000,-0.50414,-0.50414
01/22/2020,4208002.59647,0.00000,0.00000,0.00000,-0.56508,-0.56508
01/21/2020,4231916.25301,0.00000,0.00000,0.00000,-0.78325,-0.78325
01/17/2020,4265324.28841,0.00000,0.00000,0.00000,-0.73870,-0.73870
01/16/2020,4297066.53745,0.00000,0.00000,0.00000,0.10641,0.10641
01/15/2020,4292498.68845,0.00000,0.00000,0.00000,0.70845,0.70845
01/14/2020,4262302.42580,0.00000,0.00000,0.00000,1.88339,1.88339
