Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: hagopian_HIBEV
Folio Number:  9A1548300901
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4219535.10459,0.00000,0.00000,0.00000,1.12892,1.12892
07/01/2020,4172431.80728,0.00000,0.00000,0.00000,0.20535,0.20535
06/30/2020,4163881.34303,0.00000,0.00000,0.00000,0.78029,0.78029
06/29/2020,4131642.34753,0.00000,0.00000,0.00000,-0.40514,-0.40514
06/26/2020,4148449.46720,0.00000,0.00000,0.00000,-1.64803,-1.64803
06/25/2020,4217962.71214,0.00000,0.00000,0.00000,1.43262,1.43262
06/24/2020,4158388.83283,0.00000,0.00000,0.00000,-1.84800,-1.84800
06/23/2020,4236682.55967,0.00000,0.00000,0.00000,-0.45589,-0.45589
06/22/2020,4256085.41632,0.00000,0.00000,0.00000,1.09152,1.09152
06/19/2020,4210130.97313,0.00000,0.00000,0.00000,3.17914,3.17914
06/18/2020,4080408.86784,0.00000,0.00000,0.00000,0.51201,0.51201
06/17/2020,4059623.31272,0.00000,0.00000,0.00000,0.10797,0.10797
06/16/2020,4055244.87720,0.00000,0.00000,0.00000,1.32601,1.32601
06/15/2020,4002175.43532,0.00000,0.00000,0.00000,0.80733,0.80733
06/12/2020,3970123.27318,0.00000,0.00000,0.00000,0.87722,0.87722
06/11/2020,3935599.26786,0.00000,0.00000,0.00000,-3.16062,-3.16062
06/10/2020,4064048.38757,0.00000,0.00000,0.00000,-0.51681,-0.51681
06/09/2020,4085161.08603,0.00000,0.00000,0.00000,-0.72998,-0.72998
06/08/2020,4115201.41348,0.00000,0.00000,0.00000,1.79415,1.79415
06/05/2020,4042670.00442,0.00000,0.00000,0.00000,0.55496,0.55496
06/04/2020,4020358.78868,0.00000,0.00000,0.00000,-1.99500,-1.99500
06/03/2020,4102197.73925,0.00000,0.00000,0.00000,-0.75918,-0.75918
06/02/2020,4133578.85065,0.00000,0.00000,0.00000,0.14443,0.14443
06/01/2020,4127617.13306,0.00000,0.00000,0.00000,0.07945,0.07945
