Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: hagopian_HIDEV
Folio Number:  9A1548300902
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,3095470.24656,0.00000,0.00000,0.00000,0.76429,0.76429
02/04/2019,3071991.30451,0.00000,0.00000,0.00000,1.62931,1.62931
02/01/2019,3022741.38921,0.00000,0.00000,0.00000,0.74861,0.74861
01/31/2019,3000281.06650,-0.00060,0.00000,0.00000,0.74190,0.74190
01/30/2019,2977940.82982,0.00000,245.14535,0.00000,0.72302,0.72302
01/29/2019,2956562.57203,0.00000,245.14535,0.00000,1.09071,1.09071
01/28/2019,2924660.40722,0.00000,245.14535,0.00000,-0.38016,-0.38016
01/25/2019,2935822.11094,0.00005,245.14535,0.00000,1.80553,1.80553
01/24/2019,2883070.89919,0.00000,924.81501,0.00000,1.87202,1.87202
01/23/2019,2830074.06840,0.00000,924.81501,0.00000,0.76022,0.76022
01/22/2019,2808714.56603,0.00000,924.81501,0.00000,-1.55739,-1.55739
01/18/2019,2853163.80119,0.00000,924.81501,0.00000,1.66587,1.66587
01/17/2019,2806397.49285,0.00000,924.81501,0.00000,1.32722,1.32722
01/16/2019,2769626.26782,0.00000,924.81501,0.00000,-0.79655,-0.79655
01/15/2019,2791872.35462,0.00011,924.81501,0.00000,0.26988,0.26988
01/14/2019,2783684.54416,0.00000,1595.59586,0.00000,-0.91674,-0.91674
01/11/2019,2809454.61506,0.00000,1595.59586,0.00000,0.50019,0.50019
01/10/2019,2795463.86527,0.00000,1595.59586,0.00000,1.03947,1.03947
01/09/2019,2767367.96730,0.00000,915.92620,0.00000,-0.04531,-0.04531
01/08/2019,2768622.83280,0.00000,915.92620,0.00000,2.29798,2.29798
01/07/2019,2706408.91518,-0.00004,915.92620,0.00000,0.45037,0.45037
01/04/2019,2694192.33116,0.00000,994.28074,0.00000,3.63433,3.63433
