Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: hagopian_HIDEV
Folio Number:  9A1548300902
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2965892.62171,0.00000,0.00000,0.00000,0.24853,0.24853
07/01/2020,2958539.69508,0.00006,0.00000,0.00000,-0.21496,-0.21496
06/30/2020,2964893.00485,0.00008,20.07060,0.00000,-0.35604,-0.35604
06/29/2020,2974284.42349,0.00000,1222.51646,0.00000,3.19475,3.19475
06/26/2020,2882167.24241,0.00144,1222.51646,0.00000,-2.42804,-2.42804
06/25/2020,2953479.19371,0.00000,1662.73903,0.00000,0.94585,0.94585
06/24/2020,2925789.96792,0.00000,1662.73903,0.00000,-3.28777,-3.28777
06/23/2020,3025309.76281,0.00000,1662.73903,0.00000,-1.25072,-1.25072
06/22/2020,3063648.20633,0.00022,1662.73903,0.00000,0.20812,0.20812
06/19/2020,3057124.54470,0.00000,1820.21688,0.00000,-1.55973,-1.55973
06/18/2020,3105591.63088,0.00016,1820.21688,0.00000,-1.24408,-1.24408
06/17/2020,3144209.81424,-0.00139,2347.57152,0.00000,-0.77847,-0.77847
06/16/2020,3168615.22383,0.00021,2629.26727,0.00000,1.16450,1.16450
06/15/2020,3131423.54680,0.00000,3316.74832,0.00000,0.70044,0.70044
06/12/2020,3109619.18091,0.00088,3316.74832,0.00000,2.04352,2.04352
06/11/2020,3048229.23567,0.00000,2367.20889,0.00000,-6.94907,-6.94907
06/10/2020,3276068.65249,-0.00019,2347.13829,0.00000,-2.64952,-2.64952
06/09/2020,3365183.92589,0.00000,2458.16033,0.00000,-1.11715,-1.11715
06/08/2020,3403230.65914,0.00000,2458.16033,0.00000,3.94533,3.94533
06/05/2020,3273965.06673,0.00043,2458.16033,0.00000,1.25572,1.25572
06/04/2020,3233140.74419,0.00000,2650.01743,0.00000,0.57854,0.57854
06/03/2020,3214528.08504,0.00000,2650.01743,0.00000,2.83789,2.83789
06/02/2020,3125747.47342,0.00000,2650.01743,0.00000,0.12396,0.12396
06/01/2020,3121874.46373,0.00000,2650.01743,0.00000,1.08984,1.08984
