Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gbravo_BRZ
Folio Number:  9A1548400101
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,937134.95918,0.00000,0.00000,0.00000,-1.44993,-1.44993
03/06/2020,950922.70497,0.00000,0.00000,0.00000,-0.47998,-0.47998
03/05/2020,955508.96256,0.00000,0.00000,0.00000,-0.22972,-0.22972
03/04/2020,957709.04734,0.00000,0.00000,0.00000,0.07725,0.07725
03/03/2020,956969.77659,0.00000,0.00000,0.00000,-0.15695,-0.15695
03/02/2020,958474.09298,-0.00002,0.00000,0.00000,0.06693,0.06693
02/28/2020,957461.89999,0.00000,371.06770,0.00000,0.21664,0.21664
02/27/2020,955391.38048,0.00000,371.06770,0.00000,-0.27306,-0.27306
02/26/2020,958008.37060,0.00000,371.06770,0.00000,-0.23022,-0.23022
02/25/2020,960219.86295,0.00000,371.06770,0.00000,-0.29546,-0.29546
02/24/2020,963066.43491,0.00000,371.06770,0.00000,-0.22239,-0.22239
02/21/2020,965213.82785,0.00000,371.06770,0.00000,-0.08460,-0.08460
02/20/2020,966031.36228,0.00000,371.06770,0.00000,-0.03620,-0.03620
02/19/2020,966381.29980,0.00000,371.06770,0.00000,0.07275,0.07275
02/18/2020,965678.47602,0.00000,371.06770,0.00000,0.01814,0.01814
02/14/2020,965503.31014,0.00000,371.06770,0.00000,-0.04005,-0.04005
02/13/2020,966261.40046,0.00000,0.00000,0.00000,-0.05375,-0.05375
02/12/2020,966781.01026,0.00000,0.00000,0.00000,0.16562,0.16562
02/11/2020,965182.44338,0.00000,0.00000,0.00000,0.12480,0.12480
02/10/2020,963979.40135,0.00000,0.00000,0.00000,-0.10303,-0.10303
02/07/2020,964973.57070,0.00000,0.00000,0.00000,-0.11638,-0.11638
