Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gbravo_BRZ
Folio Number:  9A1548400101
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,965177.02540,0.00000,0.00000,0.00000,-0.13174,-0.13174
09/30/2019,966450.17987,-0.00011,0.00000,0.00000,0.02360,0.02360
09/27/2019,966222.19761,0.00000,0.00000,0.00000,0.03692,0.03692
09/26/2019,965865.55328,0.00000,0.00000,0.00000,-0.03461,-0.03461
09/25/2019,966200.00323,0.00000,0.00000,0.00000,0.00983,0.00983
09/24/2019,966105.02425,0.00000,0.00000,0.00000,-0.31561,-0.31561
09/23/2019,969163.75407,0.00000,0.00000,0.00000,0.07568,0.07568
09/20/2019,968430.85234,0.00000,0.00000,0.00000,0.02406,0.02406
09/19/2019,968197.93090,0.00000,0.00000,0.00000,-0.01487,-0.01487
09/18/2019,968341.88519,0.00000,0.00000,0.00000,-0.13389,-0.13389
09/17/2019,969640.13545,0.00000,0.00000,0.00000,-0.32229,-0.32229
09/16/2019,972775.26762,0.00000,0.00000,0.00000,0.81295,0.81295
09/13/2019,964930.82270,0.00000,0.00000,0.00000,-0.00174,-0.00174
09/12/2019,964947.64416,0.00000,0.00000,0.00000,-0.16364,-0.16364
09/11/2019,966529.25911,0.00000,0.00000,0.00000,0.02438,0.02438
09/10/2019,966293.64757,0.00000,0.00000,0.00000,0.16496,0.16496
09/09/2019,964702.24918,0.00000,0.00000,0.00000,0.27706,0.27706
09/06/2019,962036.83334,0.00000,0.00000,0.00000,-0.06984,-0.06984
09/05/2019,962709.17120,0.00000,0.00000,0.00000,0.20133,0.20133
09/04/2019,960774.87351,0.00000,0.00000,0.00000,0.13642,0.13642
09/03/2019,959465.96130,0.00009,0.00000,0.00000,-0.02727,-0.02727
08/30/2019,959365.55006,0.00000,362.15574,0.00000,-0.00581,-0.00581
