Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gbravo_BRZ
Folio Number:  9A1548400101
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,943744.33220,0.00000,0.00000,0.00000,0.07139,0.07139
07/01/2020,943071.04854,0.00000,0.00000,0.00000,-0.07732,-0.07732
06/30/2020,943800.79612,-0.00001,0.00000,0.00000,0.12068,0.12068
06/29/2020,942650.07257,0.00000,13.07745,0.00000,0.14310,0.14310
06/26/2020,941303.08233,0.00000,13.07745,0.00000,-0.18135,-0.18135
06/25/2020,943013.25979,0.00000,13.07745,0.00000,0.08132,0.08132
06/24/2020,942247.01358,0.00000,13.07745,0.00000,-0.37204,-0.37204
06/23/2020,945765.73178,0.00000,13.07745,0.00000,-0.01295,-0.01295
06/22/2020,945888.26970,0.00000,13.07745,0.00000,-0.06747,-0.06747
06/19/2020,946526.88937,0.00000,13.07745,0.00000,-0.00298,-0.00298
06/18/2020,946555.10073,0.00000,13.07745,0.00000,0.03819,0.03819
06/17/2020,946193.71814,0.00000,13.07745,0.00000,-0.24752,-0.24752
06/16/2020,948541.60041,0.00000,13.07745,0.00000,0.18163,0.18163
06/15/2020,946821.88059,0.00000,13.07745,0.00000,0.05755,0.05755
06/12/2020,946290.32836,0.00000,0.00000,0.00000,0.20828,0.20828
06/11/2020,944323.48176,0.00000,0.00000,0.00000,-0.49373,-0.49373
06/10/2020,949009.01753,0.00000,0.00000,0.00000,-0.34821,-0.34821
06/09/2020,952325.08396,0.00000,0.00000,0.00000,-0.24245,-0.24245
06/08/2020,954639.64117,0.00000,0.00000,0.00000,0.25474,0.25474
06/05/2020,952213.96334,0.00000,0.00000,0.00000,0.54792,0.54792
06/04/2020,947024.98922,0.00000,0.00000,0.00000,0.19184,0.19184
06/03/2020,945211.69075,0.00000,0.00000,0.00000,0.15145,0.15145
06/02/2020,943782.32429,0.00000,0.00000,0.00000,0.09514,0.09514
06/01/2020,942885.22816,-0.00003,0.00000,0.00000,0.26930,0.26930
