Client Name:  Marketocracy Capital Management, LLC
Folio Name:  lycos_LV
Folio Number:  9A1548600L01
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,5419584.67317,0.00000,0.00000,0.00000,-0.75864,-0.75864
08/01/2019,5461014.21981,0.00000,0.00000,0.00000,-0.74463,-0.74463
07/31/2019,5501983.74143,0.00000,0.00000,0.00000,-0.41765,-0.41765
07/30/2019,5525059.17040,-0.00010,0.00000,0.00000,-0.11325,-0.11325
07/29/2019,5530861.49108,0.00000,462.17230,0.00000,-0.23654,-0.23654
07/26/2019,5543976.35468,0.00000,462.17230,0.00000,0.59939,0.59939
07/25/2019,5510941.71396,0.00000,462.17230,0.00000,0.09275,0.09275
07/24/2019,5505834.37965,-0.00009,462.17230,0.00000,0.56843,0.56843
07/23/2019,5472326.70225,0.00000,2847.14431,0.00000,0.90387,0.90387
07/22/2019,5423281.40557,0.00000,2847.14431,0.00000,-0.18282,-0.18282
07/19/2019,5433219.85480,0.00000,2847.14431,0.00000,-1.04373,-1.04373
07/18/2019,5490556.38355,0.00000,2847.14431,0.00000,0.53454,0.53454
07/17/2019,5461810.09323,0.00000,2384.97201,0.00000,-0.83947,-0.83947
07/16/2019,5508068.62042,0.00000,2384.97201,0.00000,-0.41450,-0.41450
07/15/2019,5531004.28897,0.00000,2384.97201,0.00000,0.29130,0.29130
07/12/2019,5514932.34710,0.00000,2384.97201,0.00000,0.66154,0.66154
07/11/2019,5478673.02012,0.00000,2384.97201,0.00000,-0.40229,-0.40229
07/10/2019,5500812.04338,0.00000,2384.97201,0.00000,0.94362,0.94362
07/09/2019,5449368.28507,0.00000,2384.97201,0.00000,-0.14226,-0.14226
07/08/2019,5457135.26051,0.00000,2384.97201,0.00000,-0.48969,-0.48969
07/05/2019,5484001.69913,-0.00009,2384.97201,0.00000,-0.05318,-0.05318
07/03/2019,5486135.65932,0.00000,3170.38156,0.00000,0.56431,0.56431
07/02/2019,5455332.68740,0.00000,3170.38156,0.00000,0.24541,0.24541
07/01/2019,5444354.75583,0.00000,785.40955,0.00000,0.56925,0.56925
06/28/2019,5413533.49144,0.00000,785.40955,0.00000,0.43703,0.43703
06/27/2019,5389974.23220,0.00017,785.40955,0.00000,0.43387,0.43387
06/26/2019,5363817.61392,0.00000,3654.20238,0.00000,-0.57075,-0.57075
06/25/2019,5394628.27745,-0.00008,3654.20238,0.00000,-0.85866,-0.85866
06/24/2019,5441382.59828,0.00000,3654.20238,0.00000,-0.34115,-0.34115
06/21/2019,5460021.66893,0.00000,3654.20238,0.00000,-0.86863,-0.86863
06/20/2019,5507896.88482,0.00000,3654.20238,0.00000,0.83949,0.83949
06/19/2019,5462012.88600,0.00000,3654.20238,0.00000,0.73336,0.73336
06/18/2019,5422221.69482,0.00000,3654.20238,0.00000,1.13806,1.13806
06/17/2019,5361166.81143,0.00000,3654.20238,0.00000,-0.86073,-0.86073
06/14/2019,5407744.11062,0.00000,3654.20238,0.00000,-0.33042,-0.33042
06/13/2019,5423061.16888,0.00000,6276.75993,0.00000,0.74446,0.74446
06/12/2019,5386595.00769,0.00000,2622.55755,0.00000,-0.07325,-0.07325
06/11/2019,5390545.51282,0.00000,2622.55755,0.00000,-0.00436,-0.00436
06/10/2019,5390780.67301,0.00000,2622.55755,0.00000,0.64264,0.64264
06/07/2019,5356342.04886,0.00000,2622.55755,0.00000,0.96473,0.96473
06/06/2019,5305136.66856,0.00000,2622.55755,0.00000,-0.51910,-0.51910
06/05/2019,5332832.76772,0.00000,2622.55755,0.00000,0.55160,0.55160
06/04/2019,5303563.95862,-0.00099,2622.55755,0.00000,2.46851,2.46851
06/03/2019,5173887.04927,0.00000,4471.02406,0.00000,1.15028,1.15028
05/31/2019,5114999.00809,-0.00047,4471.02406,0.00000,-1.61311,-1.61311
05/30/2019,5198935.51347,0.00000,4471.02406,0.00000,0.12891,0.12891
05/29/2019,5193720.83462,0.00143,2986.38371,0.00000,-1.12952,-1.12952
05/28/2019,5253089.30694,0.00000,2986.38371,0.00000,-1.27557,-1.27557
05/24/2019,5321000.68010,0.00000,2986.38371,0.00000,-0.39216,-0.39216
05/23/2019,5341961.15930,-0.00020,2986.38371,0.00000,-1.77213,-1.77213
05/22/2019,5435899.12745,0.00000,5476.74997,0.00000,-1.68395,-1.68395
05/21/2019,5529098.74613,0.00000,5476.74997,0.00000,1.38781,1.38781
05/20/2019,5453340.60170,0.00000,5476.74997,0.00000,-0.25487,-0.25487
05/17/2019,5467288.90365,0.00000,5476.74997,0.00000,-1.16195,-1.16195
05/16/2019,5531627.30474,0.00000,5476.74997,0.00000,0.60724,0.60724
05/15/2019,5499344.90011,0.00000,4338.83277,0.00000,0.53794,0.53794
05/14/2019,5469896.74373,0.00000,4338.83277,0.00000,0.76629,0.76629
05/13/2019,5428267.03782,0.00000,4338.83277,0.00000,-2.68836,-2.68836
05/10/2019,5580198.27354,0.00000,2490.36626,0.00000,0.18245,0.18245
05/09/2019,5570031.48334,0.00000,2490.36626,0.00000,-0.43693,-0.43693
05/08/2019,5594486.47851,0.00000,2490.36626,0.00000,-0.07257,-0.07257
05/07/2019,5598551.37800,0.00000,2490.36626,0.00000,-1.72969,-1.72969
05/06/2019,5697137.29708,0.00000,2490.36626,0.00000,-0.54798,-0.54798
05/03/2019,5728542.48157,0.00023,2490.36626,0.00000,0.52309,0.52309
05/02/2019,5696663.63343,0.00000,4546.86545,0.00000,-0.38526,-0.38526
05/01/2019,5718712.90806,354.08013,4546.86545,0.00000,-0.45088,-0.45088
