Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ironclaw_TPGN
Folio Number:  9A1549200D01
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,1126939.91509,0.00000,0.00000,0.00000,-0.99829,-0.99829
03/06/2020,1138303.43428,0.00000,0.00000,0.00000,0.00907,0.00907
03/05/2020,1138200.15190,0.00000,0.00000,0.00000,-0.57783,-0.57783
03/04/2020,1144815.27156,-0.00003,0.00000,0.00000,0.16500,0.16500
03/03/2020,1142929.47676,0.00000,0.00000,0.00000,-0.27744,-0.27744
03/02/2020,1146109.28082,0.00000,0.00000,0.00000,0.37269,0.37269
02/28/2020,1141853.75515,0.00000,0.00000,0.00000,-0.13538,-0.13538
02/27/2020,1143401.68988,0.00000,0.00000,0.00000,-0.47168,-0.47168
02/26/2020,1148820.42988,0.00000,0.00000,0.00000,-0.39697,-0.39697
02/25/2020,1153399.08846,0.00000,0.00000,0.00000,-0.48918,-0.48918
02/24/2020,1159069.00895,0.00041,0.00000,0.00000,-0.49729,-0.49729
02/21/2020,1164861.75980,0.00008,0.00000,0.00000,-0.14831,-0.14831
02/20/2020,1166591.94220,0.00000,0.00000,0.00000,-0.00060,-0.00060
02/19/2020,1166598.94295,-0.00062,0.00000,0.00000,0.04950,0.04950
02/18/2020,1166021.74006,-0.00040,0.00000,0.00000,-0.01364,-0.01364
02/14/2020,1166180.83842,0.00000,0.00000,0.00000,-0.04376,-0.04376
02/13/2020,1166691.36549,0.00000,0.00000,0.00000,-0.02127,-0.02127
02/12/2020,1166939.59561,0.00000,0.00000,0.00000,0.03478,0.03478
02/11/2020,1166533.86428,0.00000,0.00000,0.00000,-0.05682,-0.05682
02/10/2020,1167197.03150,0.00000,0.00000,0.00000,0.04744,0.04744
02/07/2020,1166643.52692,0.00000,0.00000,0.00000,-0.06057,-0.06057
02/06/2020,1167350.62298,0.00039,0.00000,0.00000,0.04437,0.04437
02/05/2020,1166832.90262,0.00000,0.00000,0.00000,-0.02934,-0.02934
02/04/2020,1167175.32481,0.00013,0.00000,0.00000,0.17896,0.17896
02/03/2020,1165090.24050,0.00000,0.00000,0.00000,0.11894,0.11894
01/31/2020,1163706.15489,0.00000,0.00000,0.00000,0.00111,0.00111
01/30/2020,1163693.25773,0.00061,0.00000,0.00000,0.10064,0.10064
01/29/2020,1162523.27532,0.00000,0.00000,0.00000,-0.03177,-0.03177
01/28/2020,1162892.75924,0.00000,0.00000,0.00000,0.03399,0.03399
01/27/2020,1162497.68336,0.00000,0.00000,0.00000,-0.05748,-0.05748
01/24/2020,1163166.27331,0.00000,0.00000,0.00000,-0.03750,-0.03750
01/23/2020,1163602.57787,0.00000,0.00000,0.00000,-0.02877,-0.02877
01/22/2020,1163937.38918,0.00000,0.00000,0.00000,-0.01003,-0.01003
01/21/2020,1164054.17120,0.00005,0.00000,0.00000,-0.00863,-0.00863
01/17/2020,1164154.68133,0.00000,0.00000,0.00000,-0.01085,-0.01085
01/16/2020,1164281.04163,337.12740,0.00000,0.00000,0.05335,0.05335
01/15/2020,1163323.20952,-337.13080,0.00000,0.00000,0.01189,0.01189
01/14/2020,1163184.86966,0.00097,337.13080,0.00000,0.06918,0.06918
01/13/2020,1162380.44874,-0.00024,337.13080,0.00000,0.10646,0.10646
01/10/2020,1161143.93501,0.00000,337.13080,0.00000,0.08043,0.08043
01/09/2020,1160210.48183,0.00098,337.13080,0.00000,0.10148,0.10148
01/08/2020,1159034.00176,-0.00001,337.13080,0.00000,0.10448,0.10448
01/07/2020,1157823.94698,-0.00013,337.13080,0.00000,0.04047,0.04047
01/06/2020,1157355.48273,0.00000,337.13080,0.00000,0.04419,0.04419
01/03/2020,1156844.07610,0.00047,337.13080,0.00000,-0.02155,-0.02155
01/02/2020,1157093.44582,0.00017,337.13080,0.00000,0.01365,0.01365
12/31/2019,1156935.52553,0.00000,337.13080,0.00000,0.04799,0.04799
12/30/2019,1156380.41838,-0.00018,337.13080,0.00000,-0.04556,-0.04556
12/27/2019,1156907.69306,0.00000,337.13080,0.00000,0.03467,0.03467
12/26/2019,1156843.76958,0.00000,0.00000,0.00000,0.04656,0.04656
12/24/2019,1156305.37059,0.00000,0.00000,0.00000,0.04692,0.04692
12/23/2019,1155763.06814,0.00022,0.00000,0.00000,-0.05440,-0.05440
12/20/2019,1156392.13823,0.00000,0.00000,0.00000,0.04224,0.04224
12/19/2019,1155903.83161,0.00196,0.00000,0.00000,0.09965,0.09965
12/18/2019,1154753.10430,-0.00087,0.00000,0.00000,0.10522,0.10522
12/17/2019,1153539.37562,-0.00097,0.00000,0.00000,0.06628,0.06628
12/16/2019,1152775.28041,0.00000,0.00000,0.00000,0.13577,0.13577
12/13/2019,1151212.24570,0.00032,0.00000,0.00000,-0.00550,-0.00550
12/12/2019,1151275.55976,0.00080,0.00000,0.00000,-0.00189,-0.00189
12/11/2019,1151297.34727,0.00000,0.00000,0.00000,-0.10425,-0.10425
12/10/2019,1152498.81429,0.00000,0.00000,0.00000,-0.04718,-0.04718
12/09/2019,1153042.84744,0.00000,0.00000,0.00000,0.02765,0.02765
12/06/2019,1152724.13044,0.00000,0.00000,0.00000,-0.00399,-0.00399
