Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ironclaw_TPGN
Folio Number:  9A1549200D01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1155813.41579,-0.00012,0.00000,0.00000,0.27434,0.27434
07/01/2020,1152651.24261,0.00015,0.00000,0.00000,-0.01260,-0.01260
06/30/2020,1152796.46661,0.00000,0.00000,0.00000,0.05160,0.05160
06/29/2020,1152201.94948,0.00007,0.00000,0.00000,0.17263,0.17263
06/26/2020,1150216.36388,0.00000,0.00000,0.00000,-0.12350,-0.12350
06/25/2020,1151638.68734,-0.00048,0.00000,0.00000,-0.07857,-0.07857
06/24/2020,1152353.42734,0.00025,190.75731,0.00000,-0.29123,-0.29123
06/23/2020,1155719.80709,-0.00011,190.75731,0.00000,-0.00291,-0.00291
06/22/2020,1155753.44189,-0.00007,190.75731,0.00000,0.04555,0.04555
06/19/2020,1155227.17961,0.00000,190.75731,0.00000,-0.14896,-0.14896
06/18/2020,1156950.85845,0.00000,190.75731,0.00000,0.02917,0.02917
06/17/2020,1156613.41323,0.00000,190.75731,0.00000,-0.01601,-0.01601
06/16/2020,1156798.62657,0.00000,190.75731,0.00000,-0.02400,-0.02400
06/15/2020,1157076.35750,0.00000,190.75731,0.00000,0.02705,0.02705
06/12/2020,1156763.38664,0.00000,190.75731,0.00000,0.07004,0.07004
06/11/2020,1155953.62124,0.00000,190.75731,0.00000,-0.18155,-0.18155
06/10/2020,1158056.40946,-0.00008,190.75731,0.00000,-0.31387,-0.31387
06/09/2020,1161703.19662,-0.00036,190.75731,0.00000,-0.43384,-0.43384
06/08/2020,1166765.94636,-0.00007,190.75731,0.00000,0.36163,0.36163
06/05/2020,1162561.07174,0.00000,190.75731,0.00000,0.40892,0.40892
06/04/2020,1157825.74921,0.00092,190.75731,0.00000,0.26460,0.26460
06/03/2020,1154769.74493,0.00000,190.75731,0.00000,0.32104,0.32104
06/02/2020,1151264.52356,82.34711,0.00000,0.00000,0.14512,0.14512
06/01/2020,1149513.99177,-82.34783,0.00000,0.00000,0.00130,0.00130
