Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ironclaw_FCONX
Folio Number:  9A1549200D02
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,989751.22161,0.00000,0.00000,0.00000,0.02146,0.02146
08/01/2019,989538.85713,0.00010,0.00000,0.00000,-0.37992,-0.37992
07/31/2019,993312.65360,0.00000,0.00000,0.00000,0.04175,0.04175
07/30/2019,992898.08997,0.00000,0.00000,0.00000,-0.00499,-0.00499
07/29/2019,992947.68638,0.00000,0.00000,0.00000,-0.02790,-0.02790
07/26/2019,993224.83128,-0.00008,0.00000,0.00000,0.03296,0.03296
07/25/2019,992897.53458,0.00000,0.00000,0.00000,-0.00843,-0.00843
07/24/2019,992981.19481,0.00000,0.00000,0.00000,0.04736,0.04736
07/23/2019,992511.10399,0.00017,0.00000,0.00000,0.00421,0.00421
07/22/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/19/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/18/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/17/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/16/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/15/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/12/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/11/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/10/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/09/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/08/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/05/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/03/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/02/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
07/01/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
06/28/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
06/27/2019,992469.27370,0.00000,0.00000,0.00000,0.00000,0.00000
06/26/2019,992469.27370,-0.00056,0.00000,0.00000,0.00000,0.00000
06/25/2019,992435.60759,0.00000,33.66667,0.00000,0.00000,0.00000
06/24/2019,992435.60759,0.00000,33.66667,0.00000,0.00000,0.00000
06/21/2019,992435.60759,0.00000,33.66667,0.00000,0.03373,0.03373
06/20/2019,992100.93726,0.00000,33.66667,0.00000,-0.05946,-0.05946
06/19/2019,992691.20453,0.00065,33.66667,0.00000,-0.00185,-0.00185
06/18/2019,992709.54871,0.00000,33.66667,0.00000,0.00838,0.00838
06/17/2019,992626.40706,0.00003,33.66667,0.00000,0.03705,0.03705
06/14/2019,992258.78749,0.00000,33.66667,0.00000,-0.08480,-0.08480
06/13/2019,993100.99985,0.00000,33.66667,0.00000,0.40479,0.40479
06/12/2019,989097.07723,0.00006,33.66667,0.00000,0.18795,0.18795
06/11/2019,987241.51815,0.00000,33.66667,0.00000,-0.05028,-0.05028
06/10/2019,987738.18842,0.00000,33.66667,0.00000,-0.10056,-0.10056
06/07/2019,988732.47102,-0.00024,33.66667,0.00000,0.09013,0.09013
06/06/2019,987842.08870,0.00000,33.66667,0.00000,0.00848,0.00848
06/05/2019,987758.31591,0.00000,33.66667,0.00000,0.12516,0.12516
06/04/2019,986523.55336,0.00000,33.66667,0.00000,0.18940,0.18940
06/03/2019,984692.20571,0.00000,0.00000,0.00000,-0.05061,-0.05061
05/31/2019,985190.82102,0.00000,0.00000,0.00000,-0.17717,-0.17717
05/30/2019,986939.38818,0.00000,0.00000,0.00000,0.12814,0.12814
05/29/2019,985676.31090,0.00000,0.00000,0.00000,-0.02053,-0.02053
05/28/2019,985878.74861,0.00001,0.00000,0.00000,-0.09794,-0.09794
05/24/2019,986845.30669,0.00005,0.00000,0.00000,-0.04303,-0.04303
05/23/2019,987119.24006,0.00000,150.89095,0.00000,-0.63426,-0.63426
05/22/2019,993421.06098,0.00000,150.89095,0.00000,-0.17663,-0.17663
05/21/2019,995179.09831,0.00000,150.89095,0.00000,0.13218,0.13218
05/20/2019,993865.21949,0.00000,150.89095,0.00000,0.08629,0.08629
05/17/2019,993008.26996,0.00000,150.89095,0.00000,-0.03703,-0.03703
05/16/2019,993376.18183,0.00000,150.89095,0.00000,0.01724,0.01724
05/15/2019,993204.90540,0.00000,150.89095,0.00000,0.07455,0.07455
05/14/2019,992464.88403,0.00000,150.89095,0.00000,0.09155,0.09155
05/13/2019,991556.97863,0.00000,150.89095,0.00000,-0.53847,-0.53847
05/10/2019,996925.96367,0.00001,150.89095,0.00000,0.07311,0.07311
05/09/2019,996348.41748,0.00000,0.00000,0.00000,-0.12825,-0.12825
05/08/2019,997627.85459,0.00009,0.00000,0.00000,-0.19981,-0.19981
05/07/2019,999625.15563,0.00000,0.00000,0.00000,-0.18322,-0.18322
05/06/2019,1001460.03409,0.00000,0.00000,0.00000,-0.03499,-0.03499
05/03/2019,1001810.60208,-0.00010,0.00000,0.00000,0.17646,0.17646
05/02/2019,1000045.91132,0.00000,0.00000,0.00000,0.02496,0.02496
05/01/2019,999796.34223,0.00000,0.00000,0.00000,-0.14739,-0.14739
