Client Name:  Marketocracy Capital Management, LLC
Folio Name:  ironclaw_FCONX
Folio Number:  9A1549200D02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,968767.94671,0.00000,0.00000,0.00000,0.00609,0.00609
07/01/2020,968708.93064,0.00000,0.00000,0.00000,-0.03704,-0.03704
06/30/2020,969067.84470,0.00000,0.00000,0.00000,-0.13888,-0.13888
06/29/2020,970415.57904,0.00000,0.00000,0.00000,0.30475,0.30475
06/26/2020,967467.18434,0.00000,0.00000,0.00000,-0.06059,-0.06059
06/25/2020,968053.73181,0.00000,0.00000,0.00000,-0.02251,-0.02251
06/24/2020,968271.72995,0.00000,0.00000,0.00000,-0.13900,-0.13900
06/23/2020,969619.46429,0.00000,0.00000,0.00000,-0.00795,-0.00795
06/22/2020,969696.54651,0.00000,0.00000,0.00000,0.01863,0.01863
06/19/2020,969515.88507,0.00000,0.00000,0.00000,-0.06543,-0.06543
06/18/2020,970150.60893,0.00000,0.00000,0.00000,-0.00310,-0.00310
06/17/2020,970180.71917,0.00000,0.00000,0.00000,-0.06488,-0.06488
06/16/2020,970810.62539,0.00000,0.00000,0.00000,0.08481,0.08481
06/15/2020,969988.01363,0.00000,0.00000,0.00000,0.01776,0.01776
06/12/2020,969815.78306,0.00000,0.00000,0.00000,0.24288,0.24288
06/11/2020,967465.97993,0.00000,0.00000,0.00000,-0.41420,-0.41420
06/10/2020,971489.91240,0.00000,0.00000,0.00000,-0.16499,-0.16499
06/09/2020,973095.39040,0.00000,0.00000,0.00000,-0.17002,-0.17002
06/08/2020,974752.65801,0.00000,0.00000,0.00000,0.31073,0.31073
06/05/2020,971733.20314,0.00000,0.00000,0.00000,0.26258,0.26258
06/04/2020,969188.28566,0.00000,0.00000,0.00000,0.13863,0.13863
06/03/2020,967846.57336,0.00000,0.00000,0.00000,0.24763,0.24763
06/02/2020,965455.82031,0.00000,0.00000,0.00000,0.02396,0.02396
06/01/2020,965224.57366,0.00000,0.00000,0.00000,0.06918,0.06918
