Client Name:  Marketocracy Capital Management, LLC
Folio Name:  Alpha Fund
Folio Number:  9A1549200D03
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,1030297.32264,0.00046,0.00000,0.00000,0.04627,0.04627
04/12/2019,1029820.79351,-0.00004,0.00000,0.00000,-0.07511,-0.07511
04/11/2019,1030594.85404,0.00000,0.00000,0.00000,-0.02520,-0.02520
04/10/2019,1030854.67231,0.00000,0.00000,0.00000,0.06953,0.06953
04/09/2019,1030138.45098,-0.00003,0.00000,0.00000,-0.25263,-0.25263
04/08/2019,1032747.51912,0.00000,0.00000,0.00000,0.01545,0.01545
04/05/2019,1032587.96498,0.00000,0.00000,0.00000,0.10645,0.10645
04/04/2019,1031489.93252,0.00000,0.00000,0.00000,0.20153,0.20153
04/03/2019,1029415.37159,0.00000,0.00000,0.00000,0.37900,0.37900
04/02/2019,1025528.57476,-0.00001,0.00000,0.00000,-0.06842,-0.06842
04/01/2019,1026230.74383,0.00066,0.00000,0.00000,0.48587,0.48587
03/29/2019,1021268.65482,-0.00033,0.00000,0.00000,0.22376,0.22376
03/28/2019,1018988.58045,0.00000,0.00000,0.00000,0.00825,0.00825
03/27/2019,1018904.51519,-0.00020,0.00000,0.00000,-0.00681,-0.00681
03/26/2019,1018973.92381,0.00000,0.00000,0.00000,0.11307,0.11307
03/25/2019,1017823.06460,0.00000,0.00000,0.00000,-0.06165,-0.06165
03/22/2019,1018450.99052,0.00000,0.00000,0.00000,-0.21797,-0.21797
03/21/2019,1020675.74316,0.00000,0.00000,0.00000,0.26394,0.26394
03/20/2019,1017988.87726,0.00000,0.00000,0.00000,-0.01443,-0.01443
03/19/2019,1018135.81436,0.00000,0.00000,0.00000,-0.00573,-0.00573
03/18/2019,1018194.17780,-0.00050,0.00000,0.00000,0.07350,0.07350
03/15/2019,1017446.38471,0.00000,0.00000,0.00000,0.03081,0.03081
