Client Name:  Marketocracy Capital Management, LLC
Folio Name:  Alpha Fund
Folio Number:  9A1549200D03
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,977108.36475,0.00000,0.00000,0.00000,-0.00265,-0.00265
07/01/2020,977134.28763,0.00000,0.00000,0.00000,0.05262,0.05262
06/30/2020,976620.40449,0.00000,0.00000,0.00000,0.05539,0.05539
06/29/2020,976079.77328,0.00000,0.00000,0.00000,0.01755,0.01755
06/26/2020,975908.48363,0.00000,0.00000,0.00000,-0.03218,-0.03218
06/25/2020,976222.58747,0.00000,0.00000,0.00000,-0.00670,-0.00670
06/24/2020,976287.96574,0.00000,0.00000,0.00000,-0.05857,-0.05857
06/23/2020,976860.13527,0.00025,0.00000,0.00000,-0.06061,-0.06061
06/22/2020,977452.60658,-0.00296,0.00000,0.00000,0.02301,0.02301
06/19/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/18/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/17/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/16/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/15/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/12/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/11/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/10/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/09/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/08/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/05/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/04/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/03/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
06/01/2020,977227.71984,0.00000,0.00000,0.00000,0.00000,0.00000
